classification_id,material_id,classification_label,label,description,material_role_id
1,1,Rock,Rock or non-consolidated Earth material,"Material is rock, sediment, or other non-consolidated igneous or composite gensis material.",
2,2,Mineral,Mineral,"Material consists of a single mineral or mineraloid phase. -A mineral is an element or chemical compound that is normally crystalline and that has been formed as a result of geological processes.- (Nickel, Ernest H. (1995), The definition of a mineral, The Canadian Mineralogist. 33 (3): 689–90). Include mineraloids. A material primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure. (http://purl.obolibrary.org/obo/ENVO_01000256). The identity of a mineral species is defined by a crystal structure and a chemical composition that might include various specific elemental substitutions in that structure. Mineraloid: A naturally occurring mineral-like substance that does not demonstrate crystallinity. Mineraloids possess chemical compositions that vary beyond the generally accepted ranges for specific minerals. Examples: obsidian, Opal. (https://en.wikipedia.org/wiki/Mineraloid)",
3,5138,Xenolithic>Metamorphic,Metamorphic Rock,"Rock formed by solid-state mineralogical, chemical and/or structural changes to a pre-existing rock, in response to marked changes in temperature, pressure, shearing stress and chemical environment. ",10
4,5031,Xenolithic>Metamorphic>Calc-Silicate,Metamorphic Rock>Calc-Silicate,"metamorphic rock containing abundant calcium-silicate minerals.  Overlaps into metasomatic rocks because of high mobility of Ca carbonates. Typically rich in epidote, diopside, tremolite, calcic-amphibole, talc, with quartz and calcite. Might be gneiss or granofels; lower metamorphic grade than granulite.",10
5,5066,Xenolithic>Metamorphic>Eclogite,Metamorphic Rock>Eclogite,"Metamorphic rock composed of 75 percent or more (by volume) omphacite and garnet, both of which are present as major constituents, the amount of neither of them being higher than 75 percent (by volume); the presence of plagioclase precludes classification as an eclogite. ",10
6,5092,Xenolithic>Metamorphic>Gneiss,Metamorphic Rock>Gneiss,"Foliated metamorphic rock with bands or lenticles rich in granular minerals alternating with bands or lenticles rich in minerals with a flaky or elongate prismatic habit. Mylonitic foliation or well developed, continuous schistosity (greater than 50 percent of the rock consists of grains participate in a planar or linear fabric) precludes classification with this concept. ",10
7,5097,Xenolithic>Metamorphic>Granofels,Metamorphic Rock>Granofels,Metamorphic rock with granoblastic fabric and very little or no foliation (less than 10 percent of the mineral grains in the rock are elements in a planar or linear fabric). Grainsize not specified. ,10
8,5098,Xenolithic>Metamorphic>Granulite,Metamorphic Rock>Granulite,"Metamorphic rock of high metamorphic grade in which Fe-Mg silicate minerals are dominantly hydroxl-free; feldspar must be present, and muscovite is absent; rock contains less than 90 percent mafic minerals, less than 75 percent calcite and/or dolomite, less than 75 percent quartz, less than 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), and less than 50 percent calc-silicate minerals. ",10
9,5071,Xenolithic>Metamorphic>MechanicallyBroken,Fault-related material,"this could be impact related, cataclastic series, or breccia gouge series.",10
10,5134,Xenolithic>Metamorphic>Meta-Carbonate,Metamorphic Rock>Marble,"Metamorphic rock consisting of greater than 75 percent fine- to coarse-grained recrystallized calcite and/or dolomite; usually with a granoblastic, saccharoidal texture.",10
11,5142,Xenolithic>Metamorphic>Metasomatic,Metamorphic Rock>Metasomatic,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",10
12,5139,Xenolithic>Metamorphic>Meta-Ultramafic,Metamorphic Rock>Meta-Ultramafic,Metamorphic rock with a protolith that is a ultramafic rock.,10
13,5199,Xenolithic>Metamorphic>Schist,Metamorphic Rock>Schist,"Foliated phaneritic metamorphic rock with well developed, continuous schistosity, meaning that greater than 50 percent of the rock by volume is mineral grains with a thin tabular, lamellar, or acicular prismatic crystallographic habit that are oriented in a continuous planar or linear fabric. ",10
14,5212,Xenolithic>Metamorphic>Slate,Metamorphic Rock>Slate,"compact, fine grained rock with an average grain size less than 0.032 millimeter and a well developed schistosity (slaty cleavage), and hence can be split into slabs or thin plates.",10
15,3,Unknown,any material,Unknown,
16,5108,Sedimentary>Hybrid,Sedimentary material>Hybrid,Sediment or sedimentary rock that does not fit any of the other composition/genesis categories. Sedimentary rock consisting of three or more components which form more than 5 percent but less than 50 precent of the material. [note uri mapping is to rock],
17,5047,Sedimentary>Siliciclastic,Sedimentary material>Clastic ,"Sedimentary material of unspecified consolidation state in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.  [Note this class is broader than legacy SESAR Sedimentary>Siliciclastic class]",
18,5202,Sedimentary>MixedCarbAndOrSiliciclastic,Sedimentary material,"Sedimentary>MixedCarbAndOrSiliciclastic.   Intention is unclear, 44 instances in data, some carbonate, some clastic; these should be reclassified.",
19,5088,Sedimentary>ConglomerateAndOrBreccia,Sedimentary rock>Conglomerate,Sedimentary rock composed of at least 30 percent rounded to subangular fragments larger than 2 mm in diameter; typically contains finer grained material in interstices between larger fragments. ,
20,5041,Sedimentary>Carbonate,Sedimentary material>Carbonate,"Sedimentary material in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite and dolomite, in particles of intrabasinal origin. ",
21,5067,Sedimentary>Evaporite,Sedimentary material>Evaporite,"Nonclastic sedimentary rock composed of at least 50 percent non-carbonate salts, including chloride, sulfate or borate minerals; formed through precipitation of mineral salts from a saline solution (non-carbonate salt rock). ",
22,5156,Sedimentary>SiliceousBiogenic,Sedimentary material>Biogenic siliceous,"Sedimentary material that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, or in particles formed by chemical or biological processes within the basin of deposition.",
23,5222,Sedimentary>Volcaniclastic,Sedimentary material>Volcaniclastic (tuffite),Rock consists of more than 50 percent particles of indeterminate pyroclastic or epiclastic origin and less than 75 percent particles of clearly pyroclastic origin. commonly the rock is laminated or exhibits size grading. (based on LeMaitre et al. 2002; Murawski and Meyer 1998).,
24,5202,Sedimentary>GlacialAndOrPaleosol,Sedimentary material,"not a lithology term; 29 instances, random field names, should be reclassified",
25,5123,Sedimentary>Ironstone,Sedimentary material>Iron rich,"Sedimentary material of unspecified consolidation state that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing at least 15 percent iron by weight. ",
26,5176,Sedimentary>Phosphorite,Sedimentary material>Phosphorite,"Sedimentary rock in which at least 50 percent of the primary or recrystallized constituents are phosphate minerals. Most commonly occurs as a bedded primary or reworked secondary marine rock, composed of microcrystalline carbonate fluorapatite in the form of lamina, pellets, oolites and nodules, and skeletal, shell and bone fragments. ",
27,5132,Sedimentary>MnNoduleAndOrCrust,Sedimentary material>Manganese rich,"Sedimentary material of unspecified consolidation state that consists of at least 50 percent manganese-bearing minerals, as determined by hand-lens or petrographic analysis. Manganese-rich nodules and crusts found on the sea floor.",
28,5191,Xenolithic,Rock,"Consolidated aggregate of one or more EarthMaterials, or a body of undifferentiated mineral matter, or of solid organic material. Includes mineral aggregates such as granite, shale, marble; glassy matter such as obsidian; and organic material such a coal. Excludes unconsolidated materials.",
29,5112,Xenolithic>Igneous,Igneous Rock,"rock formed as a result of igneous processes, for example intrusion and cooling of magma in the crust, or volcanic eruption.",
30,5229,Xenolithic>Igneous>Volcanic,Volcanic Rock,Rock that exhibits direct evidence of extrusive igneous processes in its genesis.,
31,5072,Xenolithic>Igneous>Volcanic>Felsic,Volcanic material>Felsic,"light-colored material produced by volcanic processes, containing an abundance of quartz, feldspar, muscovite, or felspathoid (light-colored minerals). ",
32,5119,Xenolithic>Igneous>Volcanic>Intermediate,Volcanic material>Intermediate color,"Material produced by volcanic processes, that has sub-equal proportion of light and dark colored mineral. Not recommended for usage with new sample registrations. (see acid, basic, intermediate composition categories)",
