sample_type_id,sample_type_uri,label,description,parent_uri,parent_sample_type_id,scheme_uri,scheme_name
1,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,Solid material sample,"Individual solid object, not formed directly by or part of a living organism, that is intended to be representative of some material.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/nonbiologicsolidobject,130,https://w3id.org/sesar/objecttype/objecttypevocabulary,SESAR material sample object type extension
2,sesot:hole,Hole,"A sampling feature that is drilled or dug into the Earth surface to obtain material from the subsurface. Boreholes, soil pits, mine shafts are examples",sesot:samplingfeature,151,,
3,https://w3id.org/isample/earthenv/esmaterialsample/cuttings,Cuttings,unconsolidated Earth material produced by the grinding action of a drill bit during drilling of a borehole.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
4,https://w3id.org/isample/earthenv/esmaterialsample/core,Core,"Cylinder of rock or sediment extracted from within the earth, and representing the entire sample extracted during a single borehole drilling event.  Typically using some rotary drilling technology. In many cases the core is extracted in segments that are 'core sections'. A core from a single borehole is rarely a continous unbroken object; commonly parts of the core will break up during drilling or extraction, leaving gaps or sections that are granular material. Cores are normally composed of consolidated ('solid') material, but in some cases loosely consolidated material might be recovered, and considered sediment or tephra. To be called 'core' the material must be sufficiently consolidated to maintain a cylindrical shape. A core hasPart (hasChild) 'Core section'",https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
5,https://w3id.org/isample/earthenv/esmaterialsample/coresection,Core section,Segment of a core representing some interval along the well bore. Child of Core,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
6,https://w3id.org/isample/earthenv/esmaterialsample/corehalfround,Core half round,"Half-cylindrical peice of consolidated material produced by along-axis split of a core whole round along a selected diameter .    Has childOf relation to core section or core, core section, or Core peice from which is was split",https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
9,https://w3id.org/isample/earthenv/esmaterialsample/corequarterround,Core quarter round,a partial cylindrical peice of consolidated material created by along-axis split of a core half round. Has Parent core half round,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
10,https://w3id.org/isample/earthenv/esmaterialsample/corepiece,Core piece,A cylindrical peice of consolidated earth material extracted as a single solid object between breaks in recovery of core from a borehole. has parent core section,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
11,https://w3id.org/isample/earthenv/esmaterialsample/coresubpeice,Core subpeice,A peice of consolidated material broken from a core peice. has Parent core peice or core section,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
12,https://w3id.org/isample/earthenv/esmaterialsample/dredge,Dredge,an aggregation of material sampled by dragging a collection bucket (dredge) across the bottom of a water body,https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
