"archive","poc"
"Northern Illinois University Geology Department","	jdodd@niu.edu"
"Paleontological Research Institution (PRI)","	Leslie L. Skibinski, Collection Manager; lls94@cornell.edu"
"University of New Mexico","(360) 929-2233"
"Marine and Geology Repository - Oregon State University","(corelab@ceoas.oregonstate.edu)"
"OSU Marine and Geology Repository","(corelab@coas.oregonstate.edu)"
"Michael Wingate","+61 8 9222 3613"
"EMSL","1000soils@pnnl.gov"
"Environmental Molecular Science Laboratory","1000Soils@pnnl.gov"
"None","11 Minzudaxue Nanlu, Beijing 100081, China. Chen Hong"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China. Chen Hong"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China. Hu Jianmin"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China. Liu Jian"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China. Liu Xiaochun, Email: liuxchqw@yahoo.com.cn"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China. Zhang Shuanhong"
"Chinese Academy of Geological Sciences, Institute of Geomechanics","11 Minzudaxue Nanlu, Beijing 100081, China.Wang Wei"
"UNIVERSITY AT BUFFALO","1rdjacobi@gmail.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506340@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506341@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506342@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506343@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506344@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506345@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506346@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506347@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506348@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506349@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506350@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506351@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506352@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506353@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506354@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506355@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506356@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506357@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506358@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506359@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506360@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506361@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506362@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506363@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506364@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506365@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506366@qq.com"
"China University of Geosciences (Beijing)","3001180080@cugb.edu.cn; 2909506367@qq.com"
NULL,"a-packman@northwestern.edu"
"Northwestern University","a-packman@northwestern.edu"
"Lamont-Doherty Earth Observatory (LDEO)","A. Borunda"
"University of Johannesburg (UJ)","A. Hofmann, ahofmann@uj.ac.za"
"University of Georgia","aaronT@uga.edu"
"Colorado Mesa Univ.","aaslan@coloradomesa.edu"
"University of Michigan - Ann Arbor","aboles@umich.edu"
"University of Georgia","acherkin@uga.edu"
"Name of institution, museum, or repository where the sample is currently stored.","Address and/or email of the person who should be contacted for information about or access to the sample."
"Name of institution, museum, or repository where the sample was originally stored.","Address and/or email of the person who should be contacted for information about the sample's original archive."
"University of Nebraska - Omaha Soils Laboratory","adere@unomaha.edu"
"University of Nebraska - Omaha","adere@unomaha.edu"
"Hebrew University of Jerusalem","Adi Torfstein"
"University of California, Santa Cruz","Adina Paytan"
"Institute of Geochemistry and Petrology, Department of Earth Sciences, ETH Zürich, Switzerland","Aditi Chatterjee"
"Boston University","adunlea@bu.edu"
NULL,"adutton@ufl.edu"
"Univeristy of Florida Department of Geological Sciences","adutton@ufl.edu"
"University of Florida Department of Geological Sciences","adutton@ufl.edu"
"Univ of Michigan - EES","afiege@umich.edu"
"University of South Florida, Tampa, Florida, USA","agerma@usf.edu"
"Geosciences Barcelona (GEO3BCN-CSIC), Lluis Sole i Sabaris s/n, 08028 Barcelona","ageyer@geo3bcn.csic.es"
NULL,"ageyer@geo3bcn.csic.es"
"GEO3BCN-CSIC","ageyer@geo3bcn.csic.es"
"Geosciences Barcelona (GEO3BCN) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 10","ageyer@geo3bcn.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 85","ageyertraver@gmail.com"
"Geociences Barcelona (GEO3BCN-CSIC)","ageyertraver@gmail.com"
"Geosciences Barcelona (GEO3BCN - CSIC)","ageyertraver@gmail.com"
"Geosciences Barcelona (GEO3BCN) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 10","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 10","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 100","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 101","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 102","ageyertraver@gmail.com"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 103","ageyertraver@gmail.com"
