collector,agentLkup,multiLkup
0000-0000-0000-0000,10908,
0000-0000-0068-7943,5789,
0000-0001-5002-5407,7747,
0000-0001-5044-971X,6809,
0000-0001-5083-3789,11424,
0000-0001-5097-4311,10908,
0000-0001-5131-1181,7665,
0000-0001-5229-6366,6570,
0000-0001-5295-8649,12518,
0000-0001-5314-0662,4330,
0000-0001-5349-9843,12002,
0000-0001-5372-078X,9048,
0000-0001-5378-6623,14528,
0000-0001-5388-9729,12458,
0000-0001-5401-430X,8241,
0000-0001-5408-0075,13098,
0000-0001-5494-1832,11189,
0000-0001-5504-4527,12353,
0000-0001-5523-6326,4314,
0000-0001-5569-8352,13620,
0000-0001-5623-6512,9464,
0000-0001-5626-5364,7350,
0000-0001-5717-3867,11378,
0000-0001-5730-2163,4411,
0000-0001-5779-5236,10831,
0000-0001-5833-8133,9474,
0000-0001-5871-8742,10343,
0000-0001-5875-5527,8742,
0000-0001-5912-1913,4056,
0000-0001-5939-3206,4324,
0000-0001-5980-6082,12504,
0000-0001-6073-4397,5701,
0000-0001-6073-9358,5036,
0000-0001-6124-3848,9493,
0000-0001-6193-1800,12778,
0000-0001-6443-4922,10100,
0000-0001-6472-2940,13926,
0000-0001-6493-4425,11581,
0000-0001-6508-1786,12753,
0000-0001-6519-3999,8556,
0000-0001-6532-6229,6783,
0000-0001-6571-8994,5746,
0000-0001-6592-4421,10333,
0000-0001-6597-0276,12593,
0000-0001-6603-4076,14774,
0000-0001-6607-7236,7977,
0000-0001-6610-1881,13691,
0000-0001-6656-515X,13016,
0000-0001-6659-7821,5521,
0000-0001-6709-8856,13512,
0000-0001-6726-6119,8367,
0000-0001-6767-5393,5801,
0000-0001-6771-7557,9014,
0000-0001-6794-9315,6303,
0000-0001-6825-4902,13656,
0000-0001-6846-5179,6691,
0000-0001-6848-3983,14178,
0000-0001-6877-7658,10073,
0000-0001-6892-534X,7972,
0000-0001-6893-5601,9780,
0000-0001-6901-0272,8532,
0000-0001-6932-8707,14206,
0000-0001-7030-3822,11697,
0000-0001-7040-7795,13483,
0000-0001-7106-283X,9481,
0000-0001-7163-2310,13994,
0000-0001-7269-5663,14489,
0000-0001-7332-328X,10793,
0000-0001-7387-4989,10077,
0000-0001-7433-2532,11118,
0000-0001-7448-1116,11356,
0000-0001-7459-8496,4883,
0000-0001-7469-7486,7082,
0000-0001-7471-9462,4870,
0000-0001-7487-4171,14858,
0000-0001-7491-1163,10971,
0000-0001-7519-0636,8534,
0000-0001-7548-3359,9462,
0000-0001-7662-5726,13973,
0000-0001-7717-279X,8378,
0000-0001-7752-1312,4797,
0000-0001-7756-7185,6073,
0000-0001-7784-3864,8950,
0000-0001-7784-4082,12349,
0000-0001-7891-1590,8730,
0000-0001-7904-875X,11510,
0000-0001-7914-5891,9831,
0000-0001-7920-7757,10583,
0000-0001-7985-2908,4981,
0000-0001-7985-6626,14611,
0000-0001-7998-1566,6795,
0000-0001-8044-2578,12480,
0000-0001-8112-7529,11942,
0000-0001-8122-5196,11953,
0000-0001-8237-5292,8542,
0000-0001-8247-7977,8671,
0000-0001-8260-4067,11428,
0000-0001-8329-2149,6294,
0000-0001-8362-7797,10977,
0000-0001-8371-3142,11527,
0000-0001-8397-9370,9755,
0000-0001-8432-494X,14127,
0000-0001-8438-4213,4612,
0000-0001-8485-3403,12952,
0000-0001-8490-5154,4723,
0000-0001-8510-4041,9925,
0000-0001-8573-2099,5561,
0000-0001-8609-3620,14094,
0000-0001-8615-3910,5974,
0000-0001-8629-4086,5641,
0000-0001-8642-686X,5246,
0000-0001-8663-4036,7966,
0000-0001-8766-9222,11523,
0000-0001-8817-1768,10112,
0000-0001-8824-5288,13552,
0000-0001-8835-6113,13658,
0000-0001-8860-6856,13305,
0000-0001-8869-8172,13243,
0000-0001-8986-8911,11748,
0000-0001-9009-8643,12861,
0000-0001-9050-1885,13928,
0000-0001-9076-6525,5522,
0000-0001-9114-7830,17811,
0000-0001-9167-5158,7833,
0000-0001-9180-0940,11792,
0000-0001-9233-8188,11836,
0000-0001-9330-2435,4921,
0000-0001-9335-3304,10393,
0000-0001-9347-5328,7646,
0000-0001-9356-3117,10379,
0000-0001-9432-1283,14353,
0000-0001-9435-6144,6276,
0000-0001-9521-413X,13051,
0000-0001-9529-4416,14097,
0000-0001-9534-7856,12476,
0000-0001-9552-981X,9841,
0000-0001-9581-8937,5593,
0000-0001-9629-6106,8518,
0000-0001-9639-2050,10279,
0000-0001-9713-5304,7684,
0000-0001-9719-1429,7990,
0000-0001-9777-363X,4401,
0000-0001-9817-6482,11060,
0000-0001-9827-4562,8820,
0000-0001-9861-5609,6832,
0000-0001-9903-2499,4372,
0000-0001-9932-2330,13350,
0000-0001-9947-8001,13355,
0000-0001-9968-4139,7030,
0000-0001-9989-8700,6017,
0000-0002-0026-7595,6931,
0000-0002-0070-7108,12544,
0000-0002-0086-8390,13527,
0000-0002-0123-6184,12473,
0000-0002-0174-8921,6725,
0000-0002-0205-7735,7010,
0000-0002-0226-3205,12782,
0000-0002-0409-9322,4739,
0000-0002-0425-3262,7325,
0000-0002-0475-514x,4705,
0000-0002-0594-4276,4715,
0000-0002-0596-3792,8670,
0000-0002-0599-3609,11993,
0000-0002-0640-0000,13415,
0000-0002-0753-5169,11674,
0000-0002-0834-4276,14294,
0000-0002-0845-5830,9248,
0000-0002-0927-4409,5548,
0000-0002-0929-6659,13905,
0000-0002-1017-1124,10303,
0000-0002-1092-1669,10820,
0000-0002-1112-3562,12131,
0000-0002-1116-8058,14360,
0000-0002-1140-7004,8816,
0000-0002-1279-1642,6514,
0000-0002-1289-3729,13594,
0000-0002-1444-9365,10927,
0000-0002-1475-5549,13032,
0000-0002-1491-0369,4351,
0000-0002-1500-0957,14599,
0000-0002-1541-5968,13869,
0000-0002-1556-9123,11954,
0000-0002-1602-2154,8691,
0000-0002-1671-2913,8939,
0000-0002-1727-2294,11973,
0000-0002-1733-4950,8815,
0000-0002-1767-2984,13866,
0000-0002-1768-4424,11601,
0000-0002-1775-3100,9448,
0000-0002-1785-7292,7870,
0000-0002-1799-1619,5625,
0000-0002-1830-0445,5397,
0000-0002-1844-4553,9099,
0000-0002-1848-3114,7512,
0000-0002-1892-7221,7033,
0000-0002-2042-5781,10363,
0000-0002-2086-5736,5386,
0000-0002-2095-4747,4475,
0000-0002-2110-1295,13746,
0000-0002-2110-6248,4641,
0000-0002-2112-9159,5552,
0000-0002-2117-4697,12425,
0000-0002-2135-1091,12356,
0000-0002-2251-7487,7376,
0000-0002-2260-8688,9507,
0000-0002-2330-7246,6545,
0000-0002-2359-6738,13936,
0000-0002-2386-6566,9104,
0000-0002-2406-1604,14735,
0000-0002-2454-5633,6555,
0000-0002-2543-4353,5282,
0000-0002-2580-6989,6062,
0000-0002-2602-3054,9161,
0000-0002-2637-0718,6966,
0000-0002-2639-2781,14134,
0000-0002-2759-254X,13536,
0000-0002-2772-6536,8687,
0000-0002-2833-9853,5134,
0000-0002-2848-7952,13260,
0000-0002-2868-1835,7511,
0000-0002-2892-6169,6270,
0000-0002-2959-088X,14851,
0000-0002-2970-3557,12127,
0000-0002-2980-5449,14226,
0000-0002-3002-3866,11405,
0000-0002-3020-1597,7705,
0000-0002-3030-0990,7729,
0000-0002-3039-5256,9284,
0000-0002-3052-3887,12875,
0000-0002-3121-1658,12090,
0000-0002-3132-1658,15817,
0000-0002-3172-0145,10827,
0000-0002-3172-7101,14014,
0000-0002-3174-4606,12026,
0000-0002-3192-2230,5789,
0000-0002-3309-2269,4823,
0000-0002-3312-3774,9252,
0000-0002-3355-8487,11905,
0000-0002-3407-4177,7922,
0000-0002-3442-2725,10293,
0000-0002-3456-9719,7688,
0000-0002-3462-2065,8251,
0000-0002-3471-5245,9192,
0000-0002-3475-1959,10480,
0000-0002-3485-3744,13389,
0000-0002-3522-531x,10198,
0000-0002-3562-5153,12730,
0000-0002-3657-8125,7549,
0000-0002-3695-352X,8448,
0000-0002-3695-3837,13443,
0000-0002-3704-5849,7244,
0000-0002-3705-3064,8328,
0000-0002-3713-9888,4259,
0000-0002-3752-003X,4167,
0000-0002-3837-840X,12796,
0000-0002-3867-8015,12381,
0000-0002-3973-0882,8871,
0000-0002-3977-7197,8590,
0000-0002-3981-6870,12805,
0000-0002-3991-0445,9731,
0000-0002-4003-1069,12140,
0000-0002-4028-6977,10588,
0000-0002-4055-189X,9808,
0000-0002-4067-8225,10657,
0000-0002-4103-6144,10788,
0000-0002-4139-4427,13950,
0000-0002-4160-7656,8828,
0000-0002-4174-8512,13110,
0000-0002-4194-7642,12162,
0000-0002-4224-8173,5795,
0000-0002-4260-8503,14387,
0000-0002-4290-4660,13654,
0000-0002-4294-0346,7049,
0000-0002-4299-0511,10246,
0000-0002-4299-7043,14163,
0000-0002-4326-7149,12895,
0000-0002-4399-9307,5902,
0000-0002-4400-4199,5409,
