s	label	notation	begin	end	source	event	bLevel	gssp	stypeComment	stypeLabel	dateUncer
isc:Phanerozoic	Phanerozoic Eon	a1.1	541.0	0.0	Episodes 17/1 2, p. 95 100, 1994	Trace fossil FAD Trichophycus pedum	2.4m above the Base of Member 2 in the Chapel Island Formation	true	Fortune Head, SE Newfoundland, Canada	Stratotype Point Base of Fortunian	1.0
isc:Cenozoic	Cenozoic Era	a1.1.1	66.0	0.0	Episodes 29/4, p. 263  278, 2006	Iridium geochemical anomaly. Associated with a major extinction horizon (dinosaurs, ammonites, foraminifers, etc.)	reddish layer at the Base of the 50cm thick, dark boundary clay	true	Oued Djerfane, west of El Kef, Tunisia	Stratotype Point Base of Danian	
isc:Quaternary	Quaternary Period	a1.1.1.1	2.58	0.0	Episodes 21/2, p. 82 87, 1998	Magnetic  Matuyama/Gauss boundary (C2r/C2An) is 1m below GSSP. Stratotype Point level is within Marine Isotope Stage 103.	Base of marly layer overlying sapropel MPRS 250	true	Definition as base of Quaternary and Pleistocene ratified 2009	Stratotype Point Base of Gelasian	
isc:Quaternary	Quaternary Period	a1.1.1.1	2.58	0.0	Episodes 21/2, p. 82 87, 1998	Magnetic  Matuyama/Gauss boundary (C2r/C2An) is 1m below GSSP. Stratotype Point level is within Marine Isotope Stage 103.	Base of marly layer overlying sapropel MPRS 250	true	Monte San Nicola, Sicily, Italy	Stratotype Point Base of Gelasian	
isc:Quaternary	Quaternary Period	a1.1.1.1	2.58	0.0	Episodes 33/3, p. 152-158, 2010	Magnetic  Matuyama/Gauss boundary (C2r/C2An) is 1m below GSSP. Stratotype Point level is within Marine Isotope Stage 103.	Base of marly layer overlying sapropel MPRS 250	true	Definition as base of Quaternary and Pleistocene ratified 2009	Stratotype Point Base of Gelasian	
isc:Quaternary	Quaternary Period	a1.1.1.1	2.58	0.0	Episodes 33/3, p. 152-158, 2010	Magnetic  Matuyama/Gauss boundary (C2r/C2An) is 1m below GSSP. Stratotype Point level is within Marine Isotope Stage 103.	Base of marly layer overlying sapropel MPRS 250	true	Monte San Nicola, Sicily, Italy	Stratotype Point Base of Gelasian	
isc:Holocene	Holocene Epoch	a1.1.1.1.1	11700	0.0	Episodes 31/2, 2008	Climatic -- End of the Younger Dryas cold spell, which is reflected in a shift in deuterium excess values	1492.45m depth in Borehole NGRIP2	true	NorthGRIP2 ice core, central Greenland	Stratotype Point Base of Greenlandian	
isc:Holocene	Holocene Epoch	a1.1.1.1.1	11700	0.0	J. Quaternary Sci., Vol. 24 pp. 3–17, 2009	Climatic -- End of the Younger Dryas cold spell, which is reflected in a shift in deuterium excess values	1492.45m depth in Borehole NGRIP2	true	NorthGRIP2 ice core, central Greenland	Stratotype Point Base of Greenlandian	
isc:Holocene	Holocene Epoch	a1.1.1.1.1	0.0117	0.0	Episodes 31/2, 2008	Climatic -- End of the Younger Dryas cold spell, which is reflected in a shift in deuterium excess values	1492.45m depth in Borehole NGRIP2	true	NorthGRIP2 ice core, central Greenland	Stratotype Point Base of Greenlandian	
isc:Holocene	Holocene Epoch	a1.1.1.1.1	0.0117	0.0	J. Quaternary Sci., Vol. 24 pp. 3–17, 2009	Climatic -- End of the Younger Dryas cold spell, which is reflected in a shift in deuterium excess values	1492.45m depth in Borehole NGRIP2	true	NorthGRIP2 ice core, central Greenland	Stratotype Point Base of Greenlandian	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Global Auxiliary Stratotype, Mount Logan ice core, Canada	Auxiliary Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Global Auxiliary Stratotype, Mount Logan ice core, Canada	Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Mawmluh Cave, Meghalaya,India	Auxiliary Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Mawmluh Cave, Meghalaya,India	Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Global Auxiliary Stratotype, Mount Logan ice core, Canada	Auxiliary Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Global Auxiliary Stratotype, Mount Logan ice core, Canada	Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Mawmluh Cave, Meghalaya,India	Auxiliary Stratotype Point Base of Meghalayan	
isc:Meghalayan	Meghalayan Age	a1.1.1.1.1.1	4200	0.0	International Commission on Stratigraphy - Formal subdivision of the Holocene Series/Epoch	Stable isotope profile shows a shift to heavier isotopic values	Mawmluh Cave speleothem dated at 4250yr bk2 (before AD2000)	true	Mawmluh Cave, Meghalaya,India	Stratotype Point Base of Meghalayan	
