"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"1.5","0.6","4","Ma"
"10","8.1","12.3","Ma"
"10","10.22","10.3","Ma"
"10.02","10.02","10.02","million years (Ma)"
"10.02","10.02","10.02","Million Years (Ma)"
"100000000","100000000","1000000000","years"
"105.4","86.7","128.1","Ma"
"106.2","92.6","121.8","Ma"
"106.8","86.2","132.3","Ma"
"106.8","91.1","125.1","Ma"
"108.21",NULL,NULL,NULL
"108.4","93.2","126","Ma"
"1084 ± 5 Ma","1079","1089","million years (Ma)"
"11.396",NULL,NULL,NULL
"112.83",NULL,NULL,NULL
"113.5","99","130.2","Ma"
"115.5","97","137.5","Ma"
"1175","1163","1187","million years (Ma)"
"12.81",NULL,NULL,NULL
"120.3","105.3","137.3","Ma"
"121.9","106.7","139.3","Ma"
"13.07",NULL,NULL,NULL
"13.08",NULL,NULL,NULL
"13.12",NULL,NULL,NULL
"13.35",NULL,NULL,NULL
"13.37",NULL,NULL,NULL
"13.41",NULL,NULL,NULL
"13.44",NULL,NULL,NULL
"13.49",NULL,NULL,NULL
"13.56",NULL,NULL,NULL
"13.79",NULL,NULL,NULL
"13.92",NULL,NULL,NULL
"137.9","103.5","183.6","Ma"
"14.27",NULL,NULL,NULL
"14.49",NULL,NULL,NULL
"14.55",NULL,NULL,NULL
"14.62",NULL,NULL,NULL
"14.81",NULL,NULL,NULL
"1451.5","1723","1082",NULL
"1464.5","1034","1721",NULL
"1466 ± 17 maximum depositional age","1297","1311","million years (Ma)"
"1466.7","1019","1728",NULL
"149.177",NULL,NULL,NULL
"149.465",NULL,NULL,NULL
"150.034",NULL,NULL,NULL
"150.18",NULL,NULL,NULL
"151",NULL,NULL,NULL
"151.02",NULL,NULL,NULL
"151.7",NULL,NULL,NULL
"153.2",NULL,NULL,NULL
"158.885",NULL,NULL,NULL
"159.205",NULL,NULL,NULL
"16.11",NULL,NULL,NULL
"161.44",NULL,NULL,NULL
"162.24",NULL,NULL,NULL
"162.7",NULL,NULL,NULL
"168.43",NULL,NULL,NULL
"174.3",NULL,NULL,NULL
"174.66",NULL,NULL,NULL
"1798 ± 24 (a maximum depositional age)","1752","2835","million years (Ma)"
"184.2",NULL,NULL,NULL
"198","198","205","million years (Ma)"
"2","1.3","3.1","Ma"
"2.13",NULL,NULL,NULL
"2.9","2","4.3","Ma"
"208",NULL,NULL,NULL
"21.7","19.2","24.6","Ma"
"25.9","22.7","29.6","Ma"
"27.6",NULL,NULL,NULL
"28.1",NULL,NULL,NULL
"2873","2723","3023","Ma"
"288.17 ± 0.78","287.39","288.95","million years (Ma)"
"288.44 ± 0.70","287.74","289.14","million years (Ma)"
"29",NULL,NULL,NULL
"29.0 +/- 0.5 Ma",NULL,NULL,NULL
"29.24 +/- 0.08 Ma",NULL,NULL,NULL
"29.8",NULL,NULL,NULL
"3.5","2.2","4.8","million years (Ma)"
"3010","2985","3035","Ma"
"3026","3000","3052","Ma"
"3049","3070","3070","Ma"
"3137","2947","3327","Ma"
"3160","3148","3172","Ma"
"3163","3153","3173","Ma"
"3178","3168","3188","Ma"
"3179","2999","3359","Ma"
"3197","3186","3208","Ma"
"3200","3182","3218","Ma"
"3244","3234","3254","Ma"
"33.21",NULL,NULL,NULL
"33.5",NULL,NULL,NULL
"3385","3372","3398","Ma"
"34.4",NULL,NULL,NULL
"34.82",NULL,NULL,NULL
"35.69",NULL,NULL,NULL
"36.1",NULL,NULL,NULL
"3600 yr BP","3600",NULL,"years"
"37.9",NULL,NULL,NULL
"382.7-393.3 Ma",NULL,NULL,NULL
"4 years",NULL,NULL,NULL
"4.04",NULL,NULL,NULL
"4.4",NULL,NULL,NULL
"4.5",NULL,NULL,NULL
"44.6",NULL,NULL,NULL
"5","1.8","13.6","Ma"
"5.3","3.7","7.5","Ma"
"5.3","4.1","6.9","Ma"
"5.7","4","8.1","Ma"
"5.8","4.6","7.3","Ma"
"5.9","4.4","7.8","Ma"
"53.57",NULL,NULL,NULL
"54.5",NULL,NULL,NULL
"62.4",NULL,NULL,NULL
"68.3",NULL,NULL,NULL
"7.2","5.4","9.5","Ma"
"77.2",NULL,NULL,NULL
"8.8","5.6","13.8","Ma"
"86.1","77.1","96.2","Ma"
"9.1","7.3","11.3","Ma"
"9.23",NULL,NULL,NULL
"9.7","7.7","12.5","Ma"
"9.9","6.5","15.1","Ma"
"90",NULL,NULL,NULL
"93.32",NULL,NULL,NULL
"96.3","83.4","111.2","Ma"
"99.455",NULL,NULL,NULL
"Aeronian","438.5","440.8","Ma"
"AGE : cccc;ABSOLUTE_AGE_TOP : aaaaa;ABSOLUTE_AGE_BOT : bbbb",NULL,NULL,NULL
"AGE : unknown",NULL,NULL,NULL
"AGE : unknown;ABSOLUTE_AGE_TOP : xxx;ABSOLUTE_AGE_BOT : ttt",NULL,NULL,NULL
"Albian",NULL,NULL,NULL
"Albian-Cenomanian",NULL,NULL,NULL
"Albian-Cenomanian ",NULL,NULL,NULL
"Albian ",NULL,NULL,NULL
"all","4503","4503","million years (Ma)"
"all","4543","4543","million years (Ma)"
"Anisian - Ladinian",NULL,NULL,NULL
"Anthropocene","5","5","years"
"Anthropocene/Holocene",NULL,NULL,NULL
"ANTHROPOCENE/HOLOCENE","1657","2017","years"
"Aquitanian",NULL,NULL,NULL
"Aquitanian-Burdigalian",NULL,NULL,NULL
"Archaean",NULL,NULL,NULL
"Archaen - Proterozoic",NULL,NULL,NULL
"Archean","2640",NULL,"Ma"
"Archean","2690",NULL,"Ma"
"Archean",NULL,NULL,NULL
"Archean ",NULL,NULL,NULL
"Archean, Neoarchean",NULL,NULL,NULL
"base Eocene",NULL,NULL,NULL
"base Paleocene",NULL,NULL,NULL
"Brookian",NULL,NULL,NULL
"Burdigalian",NULL,NULL,NULL
"Callovian-Oxfordian",NULL,NULL,NULL
"Callovian-Oxfordian ",NULL,NULL,NULL
"Cambrian",NULL,NULL,NULL
"Cambrian-Ordovician",NULL,NULL,NULL
"Cambrian-Ordovician?",NULL,NULL,NULL
