geologic_time_id,label,abrevURI,geologic_time_interval_uri,numeric_older_bound,numeric_younger_bound,notation
1,Phanerozoic Eon,ics:Phanerozoic,http://resource.geosciml.org/classifier/ics/ischart/Phanerozoic,541,0,a1.1
2,Cenozoic Era,ics:Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,66,0,a1.1.1
3,Quaternary Period,ics:Quaternary,http://resource.geosciml.org/classifier/ics/ischart/Quaternary,2.58,0,a1.1.1.1
4,Holocene Epoch,ics:Holocene,http://resource.geosciml.org/classifier/ics/ischart/Holocene,0.0117,0,a1.1.1.1.1
5,Meghalayan Age,ics:Meghalayan,http://resource.geosciml.org/classifier/ics/ischart/Meghalayan,0.0042,0,a1.1.1.1.1.1
6,Northgrippian Age,ics:Northgrippian,http://resource.geosciml.org/classifier/ics/ischart/Northgrippian,0.0082,0.0042,a1.1.1.1.1.2
7,Greenlandian Age,ics:Greenlandian,http://resource.geosciml.org/classifier/ics/ischart/Greenlandian,0.0117,0.0082,a1.1.1.1.1.3
8,Pleistocene Epoch,ics:Pleistocene,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene,2.58,0.0117,a1.1.1.1.2
9,Late Pleistocene Age,ics:UpperPleistocene,http://resource.geosciml.org/classifier/ics/ischart/UpperPleistocene,0.129,0.0117,a1.1.1.1.2.1
10,Chibanian Age,ics:MiddlePleistocene,http://resource.geosciml.org/classifier/ics/ischart/MiddlePleistocene,0.774,0.129,a1.1.1.1.2.2
11,Calabrian Age,ics:Calabrian,http://resource.geosciml.org/classifier/ics/ischart/Calabrian,1.8,0.774,a1.1.1.1.2.3
12,Gelasian Age,ics:Gelasian,http://resource.geosciml.org/classifier/ics/ischart/Gelasian,2.58,1.8,a1.1.1.1.2.4
13,Neogene Period,ics:Neogene,http://resource.geosciml.org/classifier/ics/ischart/Neogene,23.03,2.58,a1.1.1.2
14,Pliocene Epoch,ics:Pliocene,http://resource.geosciml.org/classifier/ics/ischart/Pliocene,5.333,2.58,a1.1.1.2.1
15,Piacenzian Age,ics:Piacenzian,http://resource.geosciml.org/classifier/ics/ischart/Piacenzian,3.6,2.58,a1.1.1.2.1.1
16,Zanclean Age,ics:Zanclean,http://resource.geosciml.org/classifier/ics/ischart/Zanclean,5.333,3.6,a1.1.1.2.1.2
17,Miocene Epoch,ics:Miocene,http://resource.geosciml.org/classifier/ics/ischart/Miocene,23.03,5.333,a1.1.1.2.2
18,Messinian Age,ics:Messinian,http://resource.geosciml.org/classifier/ics/ischart/Messinian,7.246,5.333,a1.1.1.2.2.1
19,Tortonian Age,ics:Tortonian,http://resource.geosciml.org/classifier/ics/ischart/Tortonian,11.63,7.246,a1.1.1.2.2.2
20,Serravallian Age,ics:Serravallian,http://resource.geosciml.org/classifier/ics/ischart/Serravallian,13.82,11.63,a1.1.1.2.2.3
21,Langhian Age,ics:Langhian,http://resource.geosciml.org/classifier/ics/ischart/Langhian,15.97,13.82,a1.1.1.2.2.4
