fullKey,locality_id,,,,,,
NULLNULLNULLNULLAchmatovskAchmatovsk180,1,,,,,,
NULLNULLNULLNULLNULLAchmatovsk180,1,,,,,,
"NULLNULLNULLNULLNULLNULL180Achmatovsk,UralMtns",1,,,,,,
NULLNULLNULLOregonNULLNULL228Above1Tunnel,2,,,,,,
1TunnelNULLNULLPennsylvaniaNesquehoningNesquehoning228,3,,,,,,
10TunnelNULLNULLMassachusettsWareWare228,4,,,,,,
16mineNULLNULLTexasWoodCountyAlba(near)228,5,,,,,,
"17mineNULLNULLOklahomaLeFloreCountyBokoshe(near)228HartshorneCoal(upperandlower),4miNEofBokoshe",6,,,,,,
18NULLNULLKansasCherokeeCountyWestMineral228BevierCoal.(labeledasLimestoneSeam,7,,,,,,
21/2MineNULLNULLNewYorkTalcvilleTalcville228,8,,,,,,
2mineNULLNULLUtahCarbonCountyCastleGate(near)228DBedCoal.,9,,,,,,
NULL2SovietskiymineMinePrimorskiyKrayNULLDalnegorsk180,10,,,,,,
NULL2SovietskiymineMinePrimorskiyKrayNULLDalnegorsk180,10,,,,,,
2WestmineSpringCanyonFeatureUtahCarbonCountyNULL228,11,,,,,,
21mineNULLNULLWestVirginiaMonongaliaCountyDellslow228UpperFreeportCoal.7miEofMorgantown,12,,,,,,
3MineNULLNULLNewYorkTalcvilleTalcville228,13,,,,,,
3QuarryNULLNULLMassachusettsWestfieldWestfield228,14,,,,,,
"NULL31MineMineQaraghandyOblysyNULLNULL110Dzhezkazgan,KaraganadaOblast",15,,,,,,
4HillNULLNULLMaineHebronHebron228,16,,,,,,
4mineNULLNULLKentuckyCrittendenCountySturgis(near)2281BedCoal,17,,,,,,
4mineNULLNULLWestVirginiaRaleighCountyAffinity228Pocahontas4Coal.,18,,,,,,
5ShaftCuevaDeLaMoraNULLNULLHuelvaHuelvaNULL202,19,,,,,,
6MineNULLNULLSouthAustraliaArkoolaArkoola13,20,,,,,,
NULL65MineMineDzhezkazganOblastNULLNULL110,21,,,,,,
72mineNULLNULLPennsylvaniaCambriaCountyJohnstown228LowerKittanningCoal,22,,,,,,
73mineNULLNULLPennsylvaniaCambriaCountyJohnstown228UpperKittanningCoal,25,,,,,,
9mineNULLNULLPennsylvaniaIndianaCountyAlverda228LowerFreeportCoal,27,,,,,,
WildRicePEATlakeMNCarltonNULL22809-0023-00-201NLF,30,,,,,,
WildRicePEATlakeMNCarltonNULL22809-0023-00-202NLF,30,,,,,,
NULLNULLNULLColoradoNULLNULL228Topofhill11870NofHermit,32,,,,,,
NULLNULLwestsideof12dseamountNULLNULLNULLNULL,33,,,,,,
NULL132NorthdepositMineWesternAustraliaNULLWidgiemooltha13,34,,,,,,
SecondPEATlakeMNClearwaterNULL22815-0091-00-201NMW,35,,,,,,
SecondPEATlakeMNClearwaterNULL22815-0091-00-202NMW,35,,,,,,
1889AtlanticCity3wellNULLNULLNewJerseyAtlanticCoOceanville228,36,,,,,,
NULL19MineMineArizonaGilaCo.Harden228,39,,,,,,
NULL19SeptemberMineMineNULLNULLNULL33Madan,40,,,,,,
NULL1-BMineMineNovaScotiaNULLNULL38CapeBreton;SidneyCoalfield,41,,,,,,
NULL1-BMineMineNovaScotiaNULLNULL38GlaceBay(Near);SidneyCoalfield,41,,,,,,
LocationID:1CW;Site:1;Hole:A1stCrowWingLakelakeMinnesotaHubbardNULL228Platform:unknown;WaterDepth(m):4.95,42,,,,,,
1stSovietskiyMineNULLNULLPrimorskiyKrayDal'negorskDal'negorsk180,43,,,,,,
NULL1stSovietskiymineMinePrimorskiyKrayNULLDalnegorsk180,43,,,,,,
20MuleTeamCanyonNULLNULLCaliforniaDeathValleyDeathValley228,44,,,,,,
NULL240MimbresMineMineNewMexicoGrantCo.NULL228Georgetown,45,,,,,,
"266HykehamRoad,LincolnLN68BJNULLNULLNULLNULLNULL227",46,,,,,,
NULL29LevelMineNULLNULLNULL150,47,,,,,,
295excavationNULLNULLVirginiaNULLNULL228,50,,,,,,
NULL2ndSovietMineMineNULLNULLNULL180Dalnegorsk,51,,,,,,
"NULL2ndSovietskiyMineMinePrimorskiyKrayNULLNULL180135level,Dalnegorsk",51,,,,,,
"NULL2ndSunvein,HaggsmineMineEnglandCumbriaAlston227",52,,,,,,
"3DevilsGrade,BillingsleyRanchsectionMosesCouleeroadcutinbedrockfloodterraceWashingtonGrantNULL228RattlesnakeSpringsquad450mNEofBowersSpring",53,,,,,,
"3DevilsGrade,BillingsleyRanchsectionMosesCouleeroadcutWashingtonGrantNULL228RattlesnakeSpringsquad200msouthofBillingsleyRanch",53,,,,,,
"3DevilsGradeMosesCouleevsmallmesaWashingtonDouglasNULL228RattlesnakeSpringsquad1kmWofRattlesnakeSpring,420mWof2ponds",54,,,,,,
"3DevilsGradeMosesCouleebedrockfloodterraceWashingtonGrantNULL228RattlesnakeSpringsquad300mNNEofBowersSpring,80mSWofsharpbendinroad,20mNWofroad",55,,,,,,
"3DevilsGradeMosesCouleepotholedbedrockfloodterraceWashingtonGrantNULL228RattlesnakeSpringsquad200mNWofsharpbendinroad,40mNEofroadnexttocreekbed",55,,,,,,
LocationID:3LOO;Site:1;Hole:A3LoonlakeAlaskaNomeNULL228Platform:ice;WaterDepth(m):5.75,56,,,,,,
LocationID:3LOO;Site:2;Hole:A3LoonlakeAlaskaNomeNULL228Platform:ice;WaterDepth(m):5.75,57,,,,,,
3MQuarryNULLNULLArkansasLittleRockLittleRock228,58,,,,,,
"NULL3mQuarryMineArkansasGarlandCo.NULL228HotSpringsMultiplerecordsfromGeoNamesmatchedthelocalityHotSprings/HotSpringsTownship,GarlandCo.,Arkansas,UnitedStates,includinghttp://geonames.org/4115412andhttp://geonames.org/4115430.Thesituate.pyscriptwasunable",58,,,,,,
NULL3mQuarryMineArkansasPulaskiCo.NULL228,58,,,,,,
NULL301MineMineGeorgiaNULLNULL228,59,,,,,,
"NULL3E,BirdNestdriftMineCaliforniaSanBernardinoCo.OttoMtn.228CoordinatesfromMindatpageabouttheBirdNestdrift(http://www.mindat.org/loc-205196.html)",60,,,,,,
NULL3mSouthMineMineNewSouthWalesNULLNULL13,61,,,,,,
NULL3rMineMineArizonaNULLNULL228PatagoniaMtns,62,,,,,,
NULL40thParallelSurveyMineNULLNULLNULL228,63,,,,,,
NULL4dUraniumMineMineNevadaMineralCo.NULL228Marietta,64,,,,,,
NULL4dUraniumMineMineNevadaMineralCo.NULL228TeelsMarsh,64,,,,,,
NULLNULL4°NFractureZone.NULLNULLNULLNULL,65,,,,,,
LocationID:4H;Site:1;Hole:A4HPondlakeNebraskaDickinsonNULL228Platform:unknown;WaterDepth(m):3,66,,,,,,
4thOfJulyMineNULLNULLCaliforniaCaliforniaNULL228,67,,,,,,
NULL4thOfJulyMineMineCaliforniaSanBenitoCo.NULL228,67,,,,,,
