locality_id,locality.feature_type_id,locality_type,locality.name,country_id,province,county,city,contained_in
1,,,"Achmatovsk, Ural Mtns., Russian Federation",180,,Achmatovsk,Achmatovsk,
2,268,Underground working,"#1 Tunnel, Oregon, United States",228,Oregon,,,
3,268,Underground working,"#1 Tunnel, Pennsylvania, Nesquehoning, United States",228,Pennsylvania,Nesquehoning,Nesquehoning,
4,268,Underground working,"#10 Tunnel, Massachusetts, Ware, United States",228,Massachusetts,Ware,Ware,
5,189,Mining site,"#16 mine, Texas, Wood County, United States",228,Texas,Wood County,Alba (near),
6,189,Mining site,"#17 mine, Oklahoma, Le Flore County, United States, Oklahoma",228,Oklahoma,Le Flore County,Bokoshe (near),
7,,,"#18, Kansas, Cherokee County, West Mineral, United States",228,Kansas,Cherokee County,West Mineral,
8,189,Mining site,"#2 1/2 Mine, Talcville, New York, United States, New York",228,New York,Talcville,Talcville,
9,189,Mining site,"#2 mine, Utah, Carbon County, United States",228,Utah,Carbon County,Castle Gate (near),
10,189,Mining site,"#2 Sovietskiy mine, Primorskiy Kray, Dalnegorsk, Russian Federation",180,Primorskiy,,Dalnegorsk,
11,189,Mining site,"#2 West mine, Spring Canyon, Utah, Carbon County, United States",228,Utah,Carbon County,,
12,189,Mining site,"#21 mine, West Virginia, Monongalia County, Dellslow, United States",228,West Virginia,Monongalia County,Dellslow,
13,189,Mining site,"#3 Mine, Talcville, New York, United States, New York",228,New York,Talcville,Talcville,
14,193,Quarry,"#3 Quarry, Massachusetts, Westfield, United States",228,Massachusetts,Westfield,Westfield,
15,189,Mining site,"#31 Mine, Qaraghandy Oblysy, Kazakhstan",110,Qaraghandy Oblysy,,,
16,,,"#4 Hill, Maine, Hebron, United States",228,Maine,Hebron,Hebron,
17,189,Mining site,"#4 mine, Kentucky, Crittenden County, United States",228,Kentucky,Crittenden County,Sturgis (near),
18,189,Mining site,"#4 mine, West Virginia, Raleigh County, Affinity, United States",228,West Virginia,Raleigh County,Affinity,
19,,,"#5 Shaft Cueva De La Mora, Huelva, Huelva, Spain, Huelva",202,Huelva,Huelva,,
20,189,Mining site,"#6 Mine, South Australia, Arkoola, Australia, South Australia",13,South Australia,Arkoola,Arkoola,
21,189,Mining site,"#65 Mine, Dzhezkazgan Oblast, Kazakhstan",110,Dzhezkazgan,,,
22,189,Mining site,"#72 mine, Pennsylvania, Cambria County, Johnstown, United States",228,Pennsylvania,Cambria County,Johnstown,
25,189,Mining site,"#73 mine, Pennsylvania, Cambria County, Johnstown, United States",228,Pennsylvania,Cambria County,Johnstown,
27,189,Mining site,"#9 mine, Pennsylvania, Indiana County, Alverda, United States",228,Pennsylvania,Indiana County,Alverda,
30,70,Lake,"09-0023-00-201, Carlton , Minnesota",228,Minnesota,Carlton ,,
32,,,"11870, San Juan Mountains, Mineral Co., Colorado",228,Colorado,,,
33,97,Seamount,12d seamount,,,,,
34,189,Mining site,"132 North deposit, Western Australia",13,Western Australia,,Widgiemooltha,
35,70,Lake,"15-0091-00-201, Clearwater, Minnesota, MN",228,Minnesota,Clearwater,,
36,,,"1889 Atlantic City #3 well, New Jersey",228,New Jersey,Atlantic Co,Oceanville,
39,189,Mining site,"19 Mine, Arizona",228,Arizona,Gila Co.,Harden,
40,189,Mining site,19 September Mine,33,,,,
41,189,Mining site,"1-B Mine, Nova Scotia",38,Nova Scotia,,,
42,70,Lake,"1st Crow Wing Lake, Minnesota",228,Minnesota,Hubbard,,
43,189,Mining site,"1st Sovietskiy Mine, Primorskiy Kray",180,Primorskiy,Dal'negorsk,Dal'negorsk,
44,,,"20 Mule Team Canyon, California",228,California,Death Valley,Death Valley,
45,189,Mining site,"240 Mimbres Mine, New Mexico",228,New Mexico,Grant Co.,,
46,228,Subaerial surface environment,"266 Hykeham Road,Lincoln LN6 8BJ",227,,,,
47,189,Mining site,29 Level,150,,,,
50,,,"295 excavation, Virginia",228,Virginia,,,
51,189,Mining site,"2nd Sovietskiy Mine, Primorskiy Kray",180,Primorskiy,,,
52,189,Mining site,"2nd Sun vein, Haggs mine, England",227,England,Cumbria,Alston,
53,221,Outcrop,"3 Devils Grade, ""Billingsley Ranch section"", Moses Coulee, Washington",228,Washington,Grant,,
54,228,Subaerial surface environment,"3 Devils Grade, Moses Coulee mesa, Washington",228,Washington,Douglas,,
55,246,Terrace,"3 Devils Grade, Moses Coulee terrace, Washington",228,Washington,Grant,,
56,70,Lake,"3 Loon, Alaska. Location ID: 3LOO; Site: 1; Hole: A",228,Alaska,Nome,,
57,70,Lake,"3 Loon, Alaska. Location ID: 3LOO; Site: 2; Hole: A",228,Alaska,Nome,,
58,193,Quarry,"3 M Quarry, Arkansas",228,Arkansas,Little Rock,Little Rock,
59,189,Mining site,"301 Mine, Georgia",228,Georgia,,,
60,189,Mining site,"3E, Bird Nest drift, California",228,California,San Bernardino Co.,Otto Mtn.,
61,189,Mining site,"3m South Mine, New South Wales",13,New South Wales,,,
62,189,Mining site,"3r Mine, Arizona",228,Arizona,,,
63,189,Mining site,40th Parallel Survey,228,,,,
64,189,Mining site,"4d Uranium Mine, Nevada",228,Nevada,Mineral Co.,,
65,124,Fracture zone,4degree N Fracture Zone,,,,,
66,70,Lake,"4H Pond, Nebraska",228,Nebraska,Dickinson,,
67,189,Mining site,"4th Of July Mine, California",228,California,California,,
68,,,50 Mile,38,,,,
70,101,Canyon,"50-mile Canyon, Grand Canyon, Arizona",228,Arizona,,,
71,,,"6 R District, Oregon",228,Oregon,Port Orford,Port Orford,
72,,,"60 Mile, Yukon",38,Yukon,,,
73,70,Lake,"652 Kettle Lake, Ontario. Location ID: KET; Site: 1; Hole: A",38,Ontario,,,
74,70,Lake,"652 Kettle Lake, Ontario. Location ID: KET; Site: 1; Hole: B",38,Ontario,,,
75,70,Lake,"69-0730-00-203, St. Louis, Minnesota, MN",228,Minnesota,St. Louis,,
76,70,Lake,"69-0730-00-204, St. Louis, Minnesota, MN",228,Minnesota,St. Louis,,
77,70,Lake,"69-0730-00-205, St. Louis, Minnesota, MN",228,Minnesota,St. Louis,,
78,256,Geothermal water,"7 Soda Geyser Group, Wyoming",228,Wyoming,,,
79,,,"7 U 7 Ranch, Arizona",228,Arizona,Hillside,Hillside,
80,,,72 Kinnaid Rd Chiswick,227,,,,
81,252,Marine water body,"72HIG-24, North Pacific Ocean",,,,,
82,252,Marine water body,"72HIG-25, North Pacific Ocean",,,,,
83,252,Marine water body,"72HIG-34, North Pacific Ocean",,,,,
84,252,Marine water body,"72HIG-37, North Pacific Ocean",,,,,
85,252,Marine water body,"72HIG-41, North Pacific Ocean",,,,,
86,252,Marine water body,"72HIG-44, North Pacific Ocean",,,,,
87,252,Marine water body,"72HIG-48, North Pacific Ocean",,,,,
88,252,Marine water body,"72HIG-49, North Pacific Ocean",,,,,
89,252,Marine water body,"72HIG-51, North Pacific Ocean",,,,,
90,252,Marine water body,"72HIG-D4, North Pacific Ocean",,,,,
91,,,"7410-ft Peak, New Mexico, Socorro Co., Magdalena, United States",228,New Mexico,Socorro Co.,Magdalena,
93,,,"7562-ft Peak, New Mexico, Socorro Co., Magdalena, United States",228,New Mexico,Socorro Co.,Magdalena,
94,252,Marine water body,"75PET, North Pacific Ocean, Hawaii",228,Hawaii,,,
95,189,Mining site,"76M Level, Bavaria",81,Bavaria,,Hagendorf,
96,189,Mining site,"79 Mine, Arizona",228,Arizona,Hayden,Hayden,
97,189,Mining site,"8 Ball Mine, New Hampshire",228,New Hampshire,Grafton,Grafton,
98,13,Submarine vent,"81 Mile Vent, Ellendale Field, Western Australia",13,Western Australia,,Ellendale,
99,,,"8600-ft Peak, New Mexico, Socorro Co., Magdalena, United States",228,New Mexico,Socorro Co.,Magdalena,
100,70,Lake,"8th Crow Wing Lake, Minnesota",228,Minnesota,Hubbard,,
101,189,Mining site,"9 November Mine, Oblast Smolyan",33,Smolyan,,,
103,189,Mining site,"90 Mine, New Mexico",228,New Mexico,,Mining Districts,
104,128,Submarine ridge,90-E. Ridge,,,,,
105,252,Marine water body,"91-AV-19/2-D11, North Pacific Ocean",,,,,
106,252,Marine water body,"91-AV-19/2-D7, North Pacific Ocean",,,,,
107,101,Canyon,"91-Mile Canyon, Grand Canyon, Arizona",228,Arizona,,,
110,189,Mining site,"A Mine, Transvaal",200,Transvaal,Warmbaths,Warmbaths,
111,193,Quarry,"A. L. Pitt Quarry, Virginia",228,Virginia,Buckingham Co.,Arvonia,
112,189,Mining site,"A. Y. And Minnie Mine, Colorado",228,Colorado,Lake Co.,Leadville,
