"locality","locality_description"
" Altos Pochote Hill, SE flank","on public country road"
" Babcock Contruction Co. Inc.",NULL
" Cavone degli Sbirri",NULL
" Corral/M. Spina brec.Mte. Spina breccia",NULL
" Cramond, Edinburgh",NULL
" Cuma",NULL
" Cupa Fontana",NULL
" Enmyvaam suite",NULL
" Hospedale Cardarelli",NULL
" Irazu volcano--outcrop near parking lot, southeast crater rim",NULL
" Lago di Patria",NULL
" Lake Abaya/Wolita","North western segments of southern main Ethiopian Rift, wich series of step-up faults/Wonji fault belt series"
" Lake Chamo/Arba Minch","Along Wolita to Arba Minch road near Chamo catchment - under Chencha escarpments/Gamo Basalt"
" Lake Chamo/Arba Minch","along Wolita to Arba Minch road near Chamo catchment, under Chencha escarpments/Gamo Basalt"
" Lake Chamo/Arba Minch","North western segments of southern main Ethiopian Rift - series of step-up faults/Wonji fault belt series"
" Madonna del Arco",NULL
" Monte Oliveto",NULL
" Moore's Cutoff",NULL
" near Campo Sportivo",NULL
" North of Hawaiian Ridge",NULL
" Punta Marmolite",NULL
" Reliance Formation","SASKMAR drill site"
" Seuga deposit",NULL
" Soccavo/Pianura",NULL
" Termi Aquano",NULL
" Torre di Franco",NULL
" west along scarp",NULL
" Wheeler Air Force drilling core",NULL
" ",NULL
"""""",NULL
"""D"" mine","Rock Springs #1 Coal. 2 mi N (NW) of Superior"
"""Dune"" locality",NULL
"""Little Montana""",NULL
"""St. James""",NULL
"""The Ship""- Cove Pallisade State Park",NULL
"# 18","Bevier Coal. (labeled as ""Limestone Seam"""
"#1 Tunnel",NULL
"#10 Tunnel",NULL
"#16 mine",NULL
"#17 mine","Hartshorne Coal (upper and lower), 4 mi NE of Bokoshe"
"#2 1/2 Mine",NULL
"#2 mine","""D"" Bed Coal."
"#2 West mine",NULL
"#21 mine","Upper Freeport Coal. 7 mi E of Morgantown"
"#3 Mine",NULL
"#3 Quarry",NULL
"#4 Hill",NULL
"#4 mine","#1 Bed Coal"
"#4 mine","Pocahontas #4 Coal."
"#5 Shaft Cueva De La Mora",NULL
"#6 Mine",NULL
"#72 mine","Lower Kittanning Coal"
"#73 mine","Upper Kittanning Coal"
"#9 mine","Lower Freeport Coal"
"?",NULL
"~1.3km S of 12th Rd SE","Little Soap Lake quad"
"~1/2km N of 12th Rd SE","Little Soap Lake quad"
"~1/4km N of 12th Rd SE","Little Soap Lake quad"
"~2/3km N of 12th Rd SE","Little Soap Lake quad"
"~200 m from end of USFS road 4308",NULL
"0.5 km North of Steelhead Falls",NULL
"07jcs001",NULL
"07jcs002",NULL
"07jcs003",NULL
"07jcs004",NULL
"07jcs005",NULL
"07jcs006",NULL
"07jcs007",NULL
"07jcs008",NULL
"08700038",NULL
"1-B-II New",NULL
"1-B-II Old",NULL
"1-C-1",NULL
"1-D-II",NULL
"1-El Ocho",NULL
"1 km E of Guayabal",NULL
"1 Mile W of Cordwell","CF1-CA-5-77  Sow + cr col rich ls bed with megaripples. Cardwell quad, 1 mile west of Cordwell"
"1 Mile W of Cordwell","CF2-CA-5-77  Same loc as CF1 top of hill thin bed Sow-rich ls"
"1 Mile W of Cordwell","CF3-CA-5-77  Same loc as CF2 ls bed rich in small cr col + saw."
"1 Mile W of Cordwell","CF4-CA-5-77  same loc as CF1 ls bed with big cr col"
"10-headwat. R. Guali",NULL
"100m contour corresponding to the 14,000-15,000 bp shoreline",NULL
"101108-07","basalt and andesite"
"10208329",NULL
"103-Rt 97N-rest area",NULL
"104-Rt 97N-rest area",NULL
"104.5 km",NULL
"11-B-I",NULL
"11-spur near road",NULL
"115th street and Riverside Park","outcrop"
"12-road cut & gully",NULL
"12062801","Mt Sambe"
"12062802","Mt Sambe"
