"locality","count"
" Altos Pochote Hill, SE flank","1"
" Babcock Contruction Co. Inc.","5"
" Cavone degli Sbirri","1"
" Corral/M. Spina brec.Mte. Spina breccia","1"
" Cramond, Edinburgh","8"
" Cuma","1"
" Cupa Fontana","16"
" Enmyvaam suite","1"
" Hospedale Cardarelli","1"
" Irazu volcano--outcrop near parking lot, southeast crater rim","1"
" Lago di Patria","1"
" Lake Abaya/Wolita","1"
" Lake Chamo/Arba Minch","4"
" Madonna del Arco","1"
" Monte Oliveto","1"
" Moore's Cutoff","6"
" near Campo Sportivo","1"
" North of Hawaiian Ridge","1"
" Punta Marmolite","1"
" Reliance Formation","1"
" Seuga deposit","1"
" Soccavo/Pianura","1"
" Termi Aquano","1"
" Torre di Franco","2"
" west along scarp","1"
" Wheeler Air Force drilling core","1"
" ","100"
"""""","2"
"""D"" mine","4"
"""Dune"" locality","3"
"""Little Montana""","1"
"""St. James""","3"
"""The Ship""- Cove Pallisade State Park","9"
"# 18","1"
"#1 Tunnel","4"
"#10 Tunnel","1"
"#16 mine","1"
"#17 mine","3"
"#2 1/2 Mine","2"
"#2 mine","1"
"#2 West mine","1"
"#21 mine","4"
"#3 Mine","1"
"#3 Quarry","1"
"#4 Hill","2"
"#4 mine","4"
"#5 Shaft Cueva De La Mora","1"
"#6 Mine","1"
"#72 mine","2"
"#73 mine","2"
"#9 mine","3"
"?","1"
"~1.3km S of 12th Rd SE","1"
"~1/2km N of 12th Rd SE","1"
"~1/4km N of 12th Rd SE","1"
"~2/3km N of 12th Rd SE","1"
"~200 m from end of USFS road 4308","1"
"0.5 km North of Steelhead Falls","5"
"07jcs001","1"
"07jcs002","1"
"07jcs003","1"
"07jcs004","1"
"07jcs005","1"
"07jcs006","3"
"07jcs007","1"
"07jcs008","1"
"08700038","9"
"1-B-II New","1"
"1-B-II Old","1"
"1-C-1","1"
"1-D-II","1"
"1-El Ocho","1"
"1 km E of Guayabal","1"
"1 Mile W of Cordwell","4"
"10-headwat. R. Guali","2"
"100m contour corresponding to the 14,000-15,000 bp shoreline","2"
"101108-07","2"
"10208329","5"
"103-Rt 97N-rest area","2"
"104-Rt 97N-rest area","3"
"104.5 km","1"
"11-B-I","1"
"11-spur near road","2"
"115th street and Riverside Park","1"
"12-road cut & gully","1"
"12062801","1"
"12062802","1"
"12062803","1"
"12062804","1"
"12062805","1"
"12062806","1"
"12071204","1"
"12071205","1"
"12071301","1"
"12071302","1"
"12071303","1"
"12071304","1"
"12071305","1"
"12071306","1"
"12071307","1"
"12071308","1"
"12071309","1"
"12071310","1"
"12071312","1"
"12071313","1"
"120m contour corresponding to the 17,000 - 18,000 BP shoreline","6"
"129 X Taconic, Croton Reservoir","2"
"13-B-I Township","1"
"13-roadside locality","3"
"1302 & 1302G","2"
"13050802","1"
"13050803","1"
"13050804","1"
"13050805","1"
"13050806","1"
"13050807","1"
"13050808","1"
"13050901","1"
"13050902","1"
"13050903","1"
"13050904","1"
"13050905","1"
"13050906","1"
"13050908","1"
"13050909","1"
"13050910","1"
"13050915","1"
"13050916","1"
"14-by roadside","2"
"15-Map 4B","1"
"151km post","4"
"1520 Arlington Blvd","1"
"157.8km","1"
"16","1"
"16-B-I, Township","1"
"16 Mi N Of Hess River","2"
"163.5km post","5"
"166.5km post","1"
"168km post","7"
"168km spring","1"
"17-Map 4B","1"
"17,000 -18,000 BP shoreline","7"
"171.7km post","2"
"171st St. & Washington Ave.","1"
"177","5"
"177th St.","1"
"18-Rio Azufrado","2"
"18 km NW of Stewart Crossing","1"
"1861060","2"
"1889 Atlantic City #3 well","47"
"19-Map 4B","1"
"19256","2"
"1967 edifice (Telefon Ridge)","1"
"1968 edifice (Telefon Ridge)","1"
"1969 edifice (Telefon Ridge)","1"
"1970 edifice (Telefon Ridge)","1"
"1971 edifice (Telefon Ridge)","1"
"1972 edifice (Telefon Ridge)","1"
"1973 edifice (Telefon Ridge)","1"
"1974 edifice (Telefon Ridge)","1"
"1975 edifice (Telefon Ridge)","1"
"1976 edifice (Telefon Ridge)","1"
"1977 edifice (Telefon Ridge)","1"
"1978 edifice (Telefon Ridge)","1"
"1993 submarine eruption","8"
"1993 submarine eruption vent site","47"
"1m above DB-233","1"
"1st Sovietskiy Mine","2"
"2-A-II","1"
"2-B-I","1"
"2 C-II","1"
"2 D-I, Green Town","1"
"2 km S of Pichucalco","1"
"2 miles below Rattlesnake Bluff","4"
"20","1"
"20 Mule Team Canyon","1"
"20+ feet of section taken at knob of land NE of Tanaga volcano, by coast, ~1mi W of Falls Pt","11"
"2000' SW of Sugar Loaf Peak / 1000' NW Sugarloaf Head","1"
"200m above summit camp","1"
"203312","1"
"2060707","1"
"2060711","1"
"2070710","1"
"20ARDR001","6"
"20ARDR002","3"
"20ARDR003","2"
"21","1"
"21 North study area","3"
"2139685","1"
"2173911","1"
"21st April","17"
"21st April River","1"
"22-Map 3B","1"
"23","1"
"24","1"
"25","1"
"26","1"
"266 Hykeham Road,Lincoln LN6 8BJ","1"
