"primary_location_type","primary_location_name","locality","count"
" Abyssal Hill Province",NULL,NULL,"362"
" Bermuda Rise",NULL,NULL,"59"
" Harbour",NULL,"Port de St-Aubin-les-Elbeuf","4"
" Mountain","Santa Catalina Mountains","Sabino Canyon","1"
" Sohm’s Abyssal Plain",NULL,NULL,"52"
" tile drain","N/A",NULL,"1"
" Transverse Ridge",NULL,NULL,"101"
" uplift of magma or volcanoes","Cliff","Enzi mountains/hills","5"
" uplift of magma or volcanoes","Cliff","Enzi moutains/hills","1"
"""Tree""","Paektu Volcano",NULL,"3"
"(Volcano) Seamount on axis- ""The Hump""",NULL,NULL,"1"
"~ 1400 ft south of the Nut Island Shaft at the north end of the the Braintree Weymouth Tunnel","Braintree Weymouth Tunnel",NULL,"2"
"~1.2 km W. of Clayton, N. of HWY 75, up talus slope",NULL,NULL,"1"
"~400 m west of North Peak","French Cabin Peaks, central WA Cascade Range","~200 m from end of USFS road 4308","1"
"~570 mi. ENE of Samoa.",NULL,NULL,"1"
"~580 mi. ENE of Somoa.",NULL,NULL,"1"
"~630 mi. WNW of Tahiti-S. Pacific.",NULL,NULL,"1"
"~650 mi. WNW of Tahiti - S.Pacific.",NULL,NULL,"1"
">35 degree slope on far NE corner of Chukchi Plateau near Healy Seamount. Seismic lines from HLY0503 shows feature to be normal fault scarp","Chukchi Plateau","Arctic Ocean","53"
">40 degree slope near top of normal fault block imaged in seismic profile from HLY0503.  West of Northwind Ridge near top of fault scarp.  Target 750m water depth.","Northwind Basin","Arctic Ocean","34"
">40 degree slope on smal fault block along the Northwind Escarpment.  Feature is triangular shaped salient between larger normal fault segments.","Northwind Escarpment","Arctic Ocean","37"
">50 degree slope on fault scarp on southern edge of Nautilus Basin","Nautilus Basin","Arctic Ocean","11"
"290° W. of Cape St. George ~ 20 mi.",NULL,NULL,"1"
"300 m high volcanic cone in axial rift","Gakkel Ridge",NULL,"18"
"4° N Fracture Zone.",NULL,NULL,"1"
"400 m high volcano just north of intersection w/Lena Trough","Gakkel Ridge",NULL,"23"
"40m high ridge N of split volcano",NULL,NULL,"1"
"60 mi. NW. of Livingston Is., S. Shetland.",NULL,NULL,"1"
"60m high nose in center of rift valley",NULL,NULL,"1"
"90-E. Ridge.",NULL,NULL,"1"
"abyssal feature",NULL,"Atlantic Ocean","16"
"abyssal feature",NULL,"Equatorial Pacific","16"
"abyssal feature","Basement crust","South Pacific Gyre, Site U1365","43"
"abyssal feature",NULL,"Southern Ocean, Pacific Sector","16"
"abyssal feature","Brazil Basin","Submeridianal Rise","2"
"abyssal feature",NULL,"Tiki Basin","14"
"abyssal feature",NULL,NULL,"73"
"Abyssal feature","West flank of Mid-Atlantic Ridge",NULL,"18"
"Abyssal Feature","Lau Basin, South Pacific",NULL,"9"
"abyssal hill",NULL,NULL,"1"
"Abyssal hills",NULL,NULL,"83"
"abyssal plain","Cocos Plate",NULL,"19"
"Abyssal plain",NULL,NULL,"348"
"Active Fault","Dhorpatan Fault","Bhujekhung","21"
"Active Fault","Talphi Fault","Chhummchaur","26"
"Active Fault","Dhaulagiri Southwest Fault","Naya Ban","26"
"Active Fault","Dhaulagiri Southwest Fault","Pupal Phedi","19"
