s	lab	onepar	parlist
sf:activehumanoccupationsite	Active human occupation site	sf:anthropogenicenvironment	https://w3id.org/isample/vocabulary/sampledfeature/anthropogenicenvironment
sf:anthropogenicenvironment	Anthropogenic environment	sf:anysampledfeature	https://w3id.org/isample/vocabulary/sampledfeature/anysampledfeature
sf:anysampledfeature	Any sampled feature		
sf:atmosphere	Atmosphere	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
sf:biologicalentity	Biological entity	sf:anysampledfeature	https://w3id.org/isample/vocabulary/sampledfeature/anysampledfeature
sf:earthenvironment	Earth environment	sf:anysampledfeature	https://w3id.org/isample/vocabulary/sampledfeature/anysampledfeature
sf:earthinterior	Earth interior	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
sf:earthsurface	Earth surface	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
sf:experimentsetting	Experiment setting	sf:activehumanoccupationsite	https://w3id.org/isample/vocabulary/sampledfeature/activehumanoccupationsite
sf:extraterrestrialenvironment	Extraterrestrial environment	sf:anysampledfeature	https://w3id.org/isample/vocabulary/sampledfeature/anysampledfeature
sf:glacierenvironment	Glacier environment	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment | https://w3id.org/sesar/sampledfeature/polar_climatic_setting
sf:laboratorycuratorialenvironment	Laboratory or curatorial environment	sf:activehumanoccupationsite	https://w3id.org/isample/vocabulary/sampledfeature/activehumanoccupationsite
sf:lakeriverstreambottom	Lake river or stream bottom	sessf:subaqueous_setting	https://w3id.org/sesar/sampledfeature/subaqueous_setting
sf:marinewaterbody	Marine water body	sf:waterbody	https://w3id.org/isample/vocabulary/sampledfeature/waterbody
sf:marinewaterbodybottom	Marine water body bottom	sessf:marine_setting	https://w3id.org/sesar/sampledfeature/marine_setting
sf:pasthumanoccupationsite	Site of past human activities	sf:anthropogenicenvironment	https://w3id.org/isample/vocabulary/sampledfeature/anthropogenicenvironment
sf:subaerialsurfaceenvironment	Subaerial surface environment	sf:earthsurface	https://w3id.org/isample/vocabulary/sampledfeature/earthsurface
sf:subsurfacefluidreservoir	Subsurface fluid reservoir	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
sf:terrestrialwaterbody	Terrestrial water body	sf:waterbody	https://w3id.org/isample/vocabulary/sampledfeature/waterbody
sf:waterbody	Water body	sf:earthenvironment	https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
sessf:abandoned_channel	Abandoned river channel	sessf:river_system	https://w3id.org/sesar/sampledfeature/river_system
sessf:above_carbonate_compensation_depth	Above carbonate compensation depth	sessf:marine_setting	https://w3id.org/sesar/sampledfeature/marine_setting
