s	sourcelist
sf:activehumanoccupationsite	
sf:anthropogenicenvironment	
sf:anysampledfeature	
sf:atmosphere	
sf:biologicalentity	
sf:earthenvironment	
sf:earthinterior	
sf:earthsurface	
sf:experimentsetting	
sf:extraterrestrialenvironment	
sf:glacierenvironment	
sf:laboratorycuratorialenvironment	
sf:lakeriverstreambottom	
sf:marinewaterbody	
sf:marinewaterbodybottom	
sf:pasthumanoccupationsite	
sf:subaerialsurfaceenvironment	Neuendorf et al., 2005
sf:subsurfacefluidreservoir	
sf:terrestrialwaterbody	
sf:waterbody	
sessf:abandoned_channel	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:above_carbonate_compensation_depth	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:abyssal_plain	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Bates & Jackson, 1987, Heezen & Laughton, 1963, Reading, 1978, p. 390
sessf:abyssal_setting	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:active_continental_margin	
sessf:active_ocean_ridge	
sessf:agricultural_site	https://en.wikipedia.org/wiki/Agriculture | SESAR legacy localities
sessf:algal_flat	http://www.audubonofflorida.org/main/wetlands/chp3.htm, Reading, 1978 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:alkalic_igneous_complex	SESAR legacy localities
sessf:alluvial_fan	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:alluvial_plain	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/,
sessf:anoxic_environment	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:aquifer	based on Neuendorf et al., 2005, Glossary of Geology | SESAR legacy localities
sessf:arch_natural_formation	https://en.wikipedia.org/wiki/Natural_arch | SESAR legacy localities | Oxford English Dictionary
sessf:arid_or_semi_arid_environment	North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/, | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:axial_valley	IMLGS sampled feature
sessf:back_arc_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:backreef	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:badlands	https://en.wikipedia.org/wiki/Badlands | SESAR legacy localities
sessf:barrier_beach	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:barrier_island_coastline	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:barrier_lagoon	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Neuendorf et al., 2005
sessf:basin	https://en.wikipedia.org/wiki/Depression_(geology) | SESAR legacy localities
sessf:bathyal_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Neuendorf et al., 2005
sessf:bay	Based on IMLGS sampled feature harbor or small bay
sessf:beach	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:below_carbonate_compensation_depth_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:bight	SESAR legacy localities | Neuendorf et al., Glossary of Geology, 2005
sessf:biological_reef	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:bog	Jackson, 1997, North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/, | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:braided_channel	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:butte	https://en.wikipedia.org/wiki/Butte | SESAR legacy localities
sessf:canal	SESAR legacy localities
sessf:canyon	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:cape	SESAR legacy localities
sessf:carbonate_dominated_shoreline	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:carbonate_mound	https://www.sciencedirect.com/topics/earth-and-planetary-sciences/carbonate-mound: AI generated definition based on:   Treatise on Geomorphology (Second Edition), 2022 (https://www.sciencedirect.com/science/article/pii/B9780128182345001292) | SESAR legacy localities
sessf:carbonatite_complex	SESAR legacy localities
sessf:cave	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:channel	Neuendorf et al., 2005, Glossary of Geology | SESAR legacy localities
sessf:cirque	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:cliff	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:coastal_dune_field	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:coastal_plain	based on Neuendorf et al, 2005, p. 125 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:collisional_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:contact_metamorphic_zone	NADM metamorphic rock vocabulary SLTTm1.0, 2004 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:continent	SESAR legacy localities
sessf:continental_borderland	North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/ | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:continental_crust	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Neuendorf et al., 2005
sessf:continental_divide	https://en.wikipedia.org/wiki/Continental_divide | SESAR legacy localities
sessf:continental_margin	SESAR legacy localities
sessf:continental_margin_trench	IMLGS sampled feature
sessf:continental_rift_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:continental_shelf	North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/ | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:continental_volcanic_arc	SESAR legacy localities
sessf:crater	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:crust	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:cutoff_meander	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:deep_sea_trench	Reading 1978 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:delta_front	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:delta_plain	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Neuendorf et al., 2005
sessf:deltaic_system	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/
sessf:diatreme_or_kimberlite	SESAR legacy localities
sessf:distributary_channel	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:distributary_mouth	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:drainage_basin	SESAR legacy localities
sessf:drumlin	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:ductile_shear_zone	https://doi.org/10.1016/B978-0-12-816802-8.00002-0 | SESAR legacy localities
sessf:dune	SESAR legacy localities | Neuendorf et al., 2005, Glossary of Geology
sessf:dunefield	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:englacial_setting	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:eolian_process_setting	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:epicontinental_marine_setting	North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/ | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:escarpment	SESAR legacy localities | https://en.wikipedia.org/wiki/Escarpment
sessf:estuarine_delta	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:estuarine_lagoon	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | Neuendorf et al., 2005
sessf:estuary	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | North American Geologic-map Data Model Science Language Technical Team, 2004, Sedimentary materials:science language for their classification, description, and interpretation in digital geologic-map databases, Version 1.0 (12/18/2004): U.S. Geological Survey Open-File Report 2004-1451 appendix C, 595 p., accessed at http://pubs.usgs.gov/of/2004/1451/sltt/appendixC/
sessf:extended_terrane	http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment | This vocabulary
sessf:extra_terrestrial_setting	Neuendorf et al 2005, | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:fault	SESAR legacy localities
sessf:fault_scarp	SESAR legacy localities
sessf:fiord	IMLGS sampled feature | <http://purl.obolibrary.org/obo/ENVO_00000039>
sessf:floodplain	Neuendorf et al., 2005 | http://resource.geosciml.org/classifierscheme/cgi/2016.01/eventenvironment
sessf:fold	SESAR legacy localities
