"primary_location_name","count"
" Adams Seamount","38"
" At Road 1-2, SW of Feteira 1 km ahead of junction with Road 1-1, lava flow (~0.75m thick)","1"
" Behind the village of Cruzeiros (direction Horta) on the mainroad, 2m thick lavaflow","1"
" El Bonwala Ridge","1"
" Lake Manitou","4"
" N of Pico Ridge","3"
"""Pac Man"" Seamount","1"
"#2 Sovietskiy mine","2"
"#31 Mine","1"
"#65 Mine","3"
"(Agulha N. Graciosa)","3"
"(Opposite) St. Joe Quartz Mine","1"
"(W of Graciosa)","4"
"(W Riftzone of Graciosa)","11"
"?Blantyre Sst/tuff; Jur (more tuffs in unit","5"
"{butte}","2"
"<Null>","1"
"0.5 mi NNW of Little Elmore Pond","1"
"0.5 miles north of Delano, Pennsylvania","1"
"1-B Mine","2"
"100 Europa Dr, Chapel Hill, NC 27517, USA","4"
"105 North Columbia Street, Chapel Hill, NC 27514, USA","1"
"132 North deposit","1"
"19 Mine","5"
"19 September Mine","1"
"1989 IGC Field trip Stop 2","3"
"1990 IGC Field trip Stop 3","1"
"1990 IGC Field trip Stop 7B","1"
"1991 IGC Field trip Stop 8","1"
"1992 IGC Field trip Stop 8","1"
"1993 IGC Field trip Stop 8","1"
"1km north of AZT-03-36, Northwest of Doze Ribeiras at Road 5-2, approx. 1 km apart from AZT-03-36, 368m high above sea level, lavaflow outcrop (0.5m thick)","1"
"1st Crow Wing Lake","1"
"1st Sovietskiy mine","1"
"200m east of Road junction 5-2 and Road 1003, south of Cerrado das Sete, lava flow (~5m thick)","1"
"200m west of Barro Vermelho, on the road/coastline, north of the airport, lava flow on the coastline","1"
"2220 Level, Silica Ore Body","1"
"240 Mimbres Mine","1"
"25 Meters below AZF-03-27, north of Pedro Miguel on the road, outcrop approx. 1 m thick","1"
"29 Level","1"
"2km W of dredge","1"
"2nd Soviet Mine","1"
"2nd Sovietskiy Mine","3"
"2nd Sun vein, Haggs mine","1"
"3 Loon","2"
"3 miles E of axis","1"
"300m NW of Pico da Cancela, track to Misterio dos Negros","1"
"301 Mine","1"
"30km E’ of João de Castro","1"
"34.5degreeS","1"
"3E, Bird Nest drift","1"
"3m Quarry","2"
"3m South Mine","1"
"3r Mine","1"
"40th Parallel Survey","4"
"4d Uranium Mine","6"
"4H Pond","1"
"4th Of July Mine","3"
"500m North of Faja, on the Transversal street, small outcrop (0.5m)","1"
"560m N of Alteres soccer place, lava flow, outcrop ","1"
"560m N of Alteres soccer place, lava flow, outcrop , beneath AZT-03-130","1"
"652 Kettle Lake","2"
"675m E of Pico Rachado","1"
"7 Soda Geyser Group","2"
"70B29","11"
"750m WSW from top of Pico Rachado, ~190m N of geodetic point 786m high above sea level","1"
"750m WSW from top of Pico Rachado, ~190m N of geodetic point 786m high above sea level, lava outcrop, beneath AZT-03-125","1"
"76M Level","2"
"79 mine","2"
"79 Mine","55"
"79 miner","1"
"800m S of Pico Vermelho, 546m geodetic point","1"
"81 Mile Vent (Ellendale 5), Upper Sill Of Sill Complex","1"
"81 Mile Vent, Central Core Of Vent","4"
"8th Crow Wing Lake","1"
"8th level, Tsumeb mine,","32"
"9 November Mine","1"
"90 Mine","1"
"A-J Mine","2"
"A L Pitt Quarry","1"
"A Y And Minnie Mine","1"
"A Y Mine","1"
"A. L. Pitt Quarry Arvonia","1"
"A. Y. And Minnie Mine","5"
"A. Y. Mine","2"
"A.A.-Vih Mine","1"
"A.A. Browns Claims","1"
"A.A.S. Mine","1"
"A.B.H. Consols Mine","3"
"A.E. Bakers Mine","1"
"A.E.C. Mine","8"
"A.E.C. No. 4 Mine","1"
"A.G. Gray Mine","2"
"A.R. Berry Quarry","1"
"A.R. Chinn Mine","1"
"A.R. Haack Mine","2"
"A.S.A. Voh Mine","1"
"A.Z. Haock Mine","1"
"A154 South Mine","1"
"Aachen Mine","1"
"AAreskutan","2"
"Aaron Glacier","16"
"Abandon Quarry","1"
"Abandoned Quarry","4"
"Abandoned Zinc Mine","1"
"Abbadia Mine","2"
"ABBAYE SALINS","31"
"Abbeline Mine","1"
"Abbey Mine","2"
"Abbey Mine Number 4","1"
"Abbey Nunatak","1"
"Abbie Claim","1"
"Abbot Quarry","1"
"Abbots Ford","1"
"Abdasht Mine","2"
"Abe vent field","3"
"Abejera","2"
"Abele Spur","47"
"Abenab mine","2"
"Abenab Mine","16"
"Abenab West Mine","1"
"Aberdeen Mine","1"
"Aberdeen Quarry","1"
"Aberfoyle Mine","2"
"Aberllyn Mine","1"
"Abg Mine","1"
"Abondoned Quarry","2"
"Abosso Mine","1"
"Abosso Mine, Level 10","1"
"above Agua Retorta, Nordeste volcano, Sao Miguel","3"
"above Hakatai mouth","1"
"Above Howe","1"
"Above Shark Harbor","1"
"Abraham Winters Mine","1"
"Abrasives","1"
"Abu Samuki","6"
"abukuma","106"
"Abundance Lake","2"
"Abundancia Mine","4"
"Abundancia Mine, Canto Mg. Co.","2"
"Acadia Furnace Bank Mine","1"
"Acari Mines, Rebozadero Lode","1"
"Acarospora Peak","5"
"Acatenango","6"
"Ace Lake","3"
"Ace of Diamond Mine","1"
"Ace of Diamonds Mine","1"
"Ace Of Diamonds Mine","49"
"Ace Of Hearts Mine","1"
"Ace Of Spades Mine","1"
"Achenbach Mine","1"
"Achler volcano","2"
"Achmatowsk Mine","13"
"Acif mine","2"
"Acif Vein","5"
"Ackerman Lake","2"
"Ackerman Mine","1"
"Ackerman Nunatak","1"
"Ackerman Ridge","98"
"Acme Buick Company Clay Pit","1"
"Aconcingo","1"
"Acor Bank","1"
"Acoxcatlan","4"
"Acre River","8"
"Across The Ocean Mine","2"
"Acuda Kimberlite","1"
"Acushnet","43"
"Acushnet Guyot, Walvis Ridge","2"
"Ada Augusta Mine","1"
"Ada Elmore Mine","2"
"Ada Mine","2"
"Adagdak","3"
"Adagin ","2"
"Adak Canyon","50"
"Adak Mine","1"
"Adalberti Vein","5"
"Adam's Rocks","2"
"Adams","18"
"Adams Brook","1"
"Adams Mine","31"
"Adams Mine, Area","1"
"Adams Property","1"
"Adams Quarry","3"
"Adams Sound","5"
"Adams, Quarry","1"
"Adamson","2"
"Adare Peninsula","15"
"Addey Claims","1"
"Addie Mine","3"
"Addie Mine?","1"
"Addie Quarry","45"
"Adel Mountain Volcanics","3"
"Adelaide Island","5"
"Adelaide Mine","34"
"Adelante Mine","1"
"Adele Mine","2"
"Adeliaide Park","1"
"Adelphi Lode Mine","1"
"Adjacent to Johnson Creek","7"
"Adler Hollow Mine","1"
"Adler Mine","1"
"Adm Mine","2"
