"primary_location_name","locality","locality_description","location_description","country_id","province","county","city","primary_location_type"
"Buldir","15BLEC000",NULL,NULL,228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC001","South shore of Kittiwake pond","South shore of Kittiwake pond",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC002","Ridge west of Kittiwake pond","Ridge west of Kittiwake pond",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC003","Drainage over ridge on west side of Kittiwake pond","Drainage over ridge on west side of Kittiwake pond",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC004","Downstream of previous location, is same drainage","Downstream of previous location, is same drainage",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC004",NULL,NULL,228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC005","Further downstream, high on same side of gully (transported by heli). The one with the bird.","Further downstream, high on same side of gully (transported by heli). The one with the bird",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLEC005","The one with the bird","The one with the bird",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLMC001","Along north shore of Kittiwake Lake. EC and KS along far shore at same time.","Along north shore of Kittiwake Lake. EC and KS along far shore at same time",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLMC001","Along north shore of Kittiwake Lake. EC and KS along far shore at same time. Here, poorly stratified volcaniclastic debris and discontinuous fall layers. But, appears Holocene!!.","Along north shore of Kittiwake Lake. EC and KS along far shore at same time. Here, poorly stratified volcaniclastic debris and discontinuous fall layers. But, appears Holocene!!",228,"Alaska",NULL,NULL,"Island"
"Buldir","15BLMC002","Top of sea bluff just north of Kittiwake Lake. Walked up from 001. Note that here there is 60 cm soil on colluvium, no tephra.","Top of sea bluff just north of Kittiwake Lake. Walked up from 001. Note that here there is 60 cm soil on colluvium, no tephra",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC001","On the SW flank of Gareloi summit. Rainbows, fumaroles, ice, tephra, perfect.","On the SW flank of Gareloi summit. Rainbows, fumaroles, ice, tephra, perfect",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC002","At crater rim. Can see crater lake - steaming.","At crater rim. Can see crater lake - steaming",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC004","NW flank near MC26. Lunch!.","NW flank near MC26. Lunch!",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC005","Right near to 15GREC004","Right near to 15GREC004",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC006","NW coast near BB29. Gorgeous site with gully base of carved lava flow.","NW coast near BB29. Gorgeous site with gully base of carved lava flow",228,"Alaska",NULL,NULL,"Island"
"Gareloi","15GREC007","SW corner of island E of GALA and up slope of MC22. Toe in on heli!.","SW corner of island E of GALA and up slope of MC22. Toe in on heli!",228,"Alaska",NULL,NULL,"Island"
