locality_id,locality.feature_type_id,province,county,city,country_id
1,,NULL,Achmatovsk,Achmatovsk,180
1,,NULL,NULL,Achmatovsk,180
1,,NULL,NULL,NULL,180
2,,Oregon,NULL,NULL,228
3,,Pennsylvania,Nesquehoning,Nesquehoning,228
4,,Massachusetts,Ware,Ware,228
5,189,Texas,Wood County,Alba (near),228
6,189,Oklahoma,Le Flore County,Bokoshe (near),228
7,,Kansas,Cherokee County,West Mineral,228
8,189,New York,Talcville,Talcville,228
9,189,Utah,Carbon County,Castle Gate (near),228
10,189,Primorskiy Kray,NULL,Dalnegorsk,180
11,189,Utah,Carbon County,NULL,228
12,189,West Virginia,Monongalia County,Dellslow,228
13,189,New York,Talcville,Talcville,228
14,193,Massachusetts,Westfield,Westfield,228
15,189,Qaraghandy Oblysy,NULL,NULL,110
16,,Maine,Hebron,Hebron,228
17,189,Kentucky,Crittenden County,Sturgis (near),228
18,189,West Virginia,Raleigh County,Affinity,228
19,,Huelva,Huelva,NULL,202
20,189,South Australia,Arkoola,Arkoola,13
21,189,Dzhezkazgan Oblast,NULL,NULL,110
22,189,Pennsylvania,Cambria County,Johnstown,228
25,189,Pennsylvania,Cambria County,Johnstown,228
27,189,Pennsylvania,Indiana County,Alverda,228
30,70,MN,Carlton ,NULL,228
32,,Colorado,NULL,NULL,228
33,97,NULL,NULL,NULL,NULL
34,189,Western Australia,NULL,Widgiemooltha,13
35,70,MN,Clearwater,NULL,228
36,,New Jersey,Atlantic Co,Oceanville,228
39,189,Arizona,Gila Co.,Harden,228
40,189,NULL,NULL,NULL,33
41,189,Nova Scotia,NULL,NULL,38
42,70,Minnesota,Hubbard,NULL,228
43,189,Primorskiy Kray,Dal'negorsk,Dal'negorsk,180
43,189,Primorskiy Kray,NULL,Dalnegorsk,180
44,,California,Death Valley,Death Valley,228
45,189,New Mexico,Grant Co.,NULL,228
46,228,NULL,NULL,NULL,227
47,189,NULL,NULL,NULL,150
50,,Virginia,NULL,NULL,228
51,189,NULL,NULL,NULL,180
51,189,Primorskiy Kray,NULL,NULL,180
52,189,England,Cumbria,Alston,227
53,221,Washington,Grant,NULL,228
54,228,Washington,Douglas,NULL,228
55,246,Washington,Grant,NULL,228
56,70,Alaska,Nome,NULL,228
57,70,Alaska,Nome,NULL,228
58,193,Arkansas,Garland Co.,NULL,228
58,193,Arkansas,Little Rock,Little Rock,228
58,193,Arkansas,Pulaski Co.,NULL,228
59,189,Georgia,NULL,NULL,228
60,189,California,San Bernardino Co.,Otto Mtn.,228
61,189,New South Wales,NULL,NULL,13
62,189,Arizona,NULL,NULL,228
