s	label	match
gcmin:abellaite	Abellaite	<https://www.mindat.org/1:1:47008:3>
gcmin:abelsonite	Abelsonite	<https://www.mindat.org/1:1:1:5>
gcmin:abenakiite-ce	Abenakiite-(Ce)	<https://www.mindat.org/1:1:2:4>
gcmin:abernathyite	Abernathyite	<https://www.mindat.org/1:1:3:3>
gcmin:abhurite	Abhurite	<https://www.mindat.org/1:1:4:2>
gcmin:abramovite	Abramovite	<https://www.mindat.org/1:1:29261:6>
gcmin:abswurmbachite	Abswurmbachite	<https://www.mindat.org/1:1:9:7>
gcmin:abuite	Abuite	<https://www.mindat.org/1:1:46490:3>
gcmin:acanthite	Acanthite	<https://www.mindat.org/1:1:10:5>
<https://w3id.org/geochem/1.0/mingroup/46605>	Acanthite Group	<https://www.mindat.org/1:1:46605:3>
gcmin:acetamide	Acetamide	<https://www.mindat.org/1:1:13:6>
gcmin:achalaite	Achalaite	<https://www.mindat.org/1:1:46039:6>
gcmin:achyrophanite	Achyrophanite	<https://www.mindat.org/1:1:52919:4>
gcmin:achavalite	Achávalite	<https://www.mindat.org/1:1:14:3>
gcmin:acmonidesite	Acmonidesite	<https://www.mindat.org/1:1:45955:8>
gcmin:actinolite	Actinolite	<https://www.mindat.org/1:1:18:1>
<https://w3id.org/geochem/1.0/mingroup/52952>	Actinolite Root Name Group	<https://www.mindat.org/1:1:52952:9>
gcmin:acuminite	Acuminite	<https://www.mindat.org/1:1:19:8>
gcmin:adamite	Adamite	<https://www.mindat.org/1:1:21:1>
gcmin:adamsite-y	Adamsite-(Y)	<https://www.mindat.org/1:1:7088:7>
gcmin:adanite	Adanite	<https://www.mindat.org/1:1:54113:2>
gcmin:adelite	Adelite	<https://www.mindat.org/1:1:23:5>
<https://w3id.org/geochem/1.0/mingroup/29251>	Adelite-Descloizite Group	<https://www.mindat.org/1:1:29251:9>
gcmin:admontite	Admontite	<https://www.mindat.org/1:1:27:3>
gcmin:adolfpateraite	Adolfpateraite	<https://www.mindat.org/1:1:42458:9>
gcmin:adranosite	Adranosite	<https://www.mindat.org/1:1:39324:3>
gcmin:adranosite-fe	Adranosite-(Fe)	<https://www.mindat.org/1:1:38898:6>
gcmin:aegirine	Aegirine	<https://www.mindat.org/1:1:31:0>
gcmin:aegirine-augite	Aegirine-augite	<https://www.mindat.org/1:1:32:7>
gcmin:aenigmatite	Aenigmatite	<https://www.mindat.org/1:1:33:4>
<https://w3id.org/geochem/1.0/mingroup/40089>	Aenigmatite Group	<https://www.mindat.org/1:1:40089:9>
gcmin:aerinite	Aerinite	<https://www.mindat.org/1:1:34:1>
gcmin:aerugite	Aerugite	<https://www.mindat.org/1:1:36:5>
<https://w3id.org/geochem/1.0/mingroup/42265>	Aeschynite Group	<https://www.mindat.org/1:1:42265:1>
gcmin:aeschynite-ce	Aeschynite-(Ce)	<https://www.mindat.org/1:1:37:2>
gcmin:aeschynite-nd	Aeschynite-(Nd)	<https://www.mindat.org/1:1:38:9>
gcmin:aeschynite-y	Aeschynite-(Y)	<https://www.mindat.org/1:1:39:6>
gcmin:afghanite	Afghanite	<https://www.mindat.org/1:1:41:9>
gcmin:afmite	Afmite	<https://www.mindat.org/1:1:40242:6>
gcmin:afwillite	Afwillite	<https://www.mindat.org/1:1:42:6>
gcmin:agaite	Agaite	<https://www.mindat.org/1:1:42745:2>
gcmin:agakhanovite-y	Agakhanovite-(Y)	<https://www.mindat.org/1:1:45953:0>
gcmin:agardite-ce	Agardite-(Ce)	<https://www.mindat.org/1:1:48:8>
gcmin:agardite-la	Agardite-(La)	<https://www.mindat.org/1:1:50:1>
gcmin:agardite-nd	Agardite-(Nd)	<https://www.mindat.org/1:1:43:3>
gcmin:agardite-y	Agardite-(Y)	<https://www.mindat.org/1:1:44:0>
gcmin:agrellite	Agrellite	<https://www.mindat.org/1:1:57:0>
gcmin:agricolaite	Agricolaite	<https://www.mindat.org/1:1:39868:2>
gcmin:agrinierite	Agrinierite	<https://www.mindat.org/1:1:58:7>
gcmin:aguilarite	Aguilarite	<https://www.mindat.org/1:1:59:4>
gcmin:aheylite	Aheylite	<https://www.mindat.org/1:1:60:0>
gcmin:ahlfeldite	Ahlfeldite	<https://www.mindat.org/1:1:61:7>
gcmin:ahrensite	Ahrensite	<https://www.mindat.org/1:1:43891:7>
gcmin:aikinite	Aikinite	<https://www.mindat.org/1:1:63:1>
gcmin:aiolosite	Aiolosite	<https://www.mindat.org/1:1:38693:3>
gcmin:ajkaite	Ajkaite	<https://www.mindat.org/1:1:51791:3>
gcmin:ajoite	Ajoite	<https://www.mindat.org/1:1:66:2>
gcmin:akaganeite	Akaganeite	<https://www.mindat.org/1:1:67:9>
gcmin:akaogiite	Akaogiite	<https://www.mindat.org/1:1:35912:4>
gcmin:akatoreite	Akatoreite	<https://www.mindat.org/1:1:68:6>
gcmin:akdalaite	Akdalaite	<https://www.mindat.org/1:1:69:3>
gcmin:akhtenskite	Akhtenskite	<https://www.mindat.org/1:1:71:6>
gcmin:aklimaite	Aklimaite	<https://www.mindat.org/1:1:42244:8>
gcmin:akrochordite	Akrochordite	<https://www.mindat.org/1:1:72:3>
<https://w3id.org/geochem/1.0/mingroup/470609>	Akrochordite Group	<https://www.mindat.org/1:1:470609:6>
gcmin:aksaite	Aksaite	<https://www.mindat.org/1:1:73:0>
gcmin:aktashite	Aktashite	<https://www.mindat.org/1:1:74:7>
gcmin:alabandite	Alabandite	<https://www.mindat.org/1:1:89:1>
gcmin:alacranite	Alacránite	<https://www.mindat.org/1:1:91:4>
gcmin:alamosite	Alamosite	<https://www.mindat.org/1:1:93:8>
gcmin:alarsite	Alarsite	<https://www.mindat.org/1:1:94:5>
gcmin:albite	Albite	<https://www.mindat.org/1:1:96:9>
gcmin:albrechtschraufite	Albrechtschraufite	<https://www.mindat.org/1:1:97:6>
gcmin:alburnite	Alburnite	<https://www.mindat.org/1:1:43596:5>
gcmin:alcaparrosaite	Alcaparrosaite	<https://www.mindat.org/1:1:42525:0>
gcmin:aldermanite	Aldermanite	<https://www.mindat.org/1:1:104:1>
gcmin:aldomarinoite	Aldomarinoite	<https://www.mindat.org/1:1:55606:4>
gcmin:aldridgeite	Aldridgeite	<https://www.mindat.org/1:1:40398:4>
gcmin:aleksandrovite	Aleksandrovite	<https://www.mindat.org/1:1:39438:5>
gcmin:aleksite	Aleksite	<https://www.mindat.org/1:1:108:7>
<https://w3id.org/geochem/1.0/mingroup/39723>	Aleksite Group	<https://www.mindat.org/1:1:39723:0>
gcmin:alflarsenite	Alflarsenite	<https://www.mindat.org/1:1:38701:1>
gcmin:alforsite	Alforsite	<https://www.mindat.org/1:1:112:0>
gcmin:alfredstelznerite	Alfredstelznerite	<https://www.mindat.org/1:1:35790:4>
gcmin:algodonite	Algodonite	<https://www.mindat.org/1:1:114:8>
gcmin:alicewilsonite-yce	Alicewilsonite-(YCe)	<https://www.mindat.org/1:1:55237:8>
gcmin:aliettite	Aliettite	<https://www.mindat.org/1:1:115:7>
<https://w3id.org/geochem/1.0/mingroup/118>	Alkali Feldspar	<https://www.mindat.org/1:1:118:4>
gcmin:alkalipyroxene	Alkali pyroxene	<https://www.mindat.org/1:1:48005:3>
gcmin:allactite	Allactite	<https://www.mindat.org/1:1:122:7>
<https://w3id.org/geochem/1.0/mingroup/40541>	Allactite Group	<https://www.mindat.org/1:1:40541:4>
<https://w3id.org/geochem/1.0/mingroup/46220>	Allanite Group	<https://www.mindat.org/1:1:46220:6>
gcmin:allanite-ce	Allanite-(Ce)	<https://www.mindat.org/1:1:125:4>
gcmin:allanite-la	Allanite-(La)	<https://www.mindat.org/1:1:126:3>
gcmin:allanite-nd	Allanite-(Nd)	<https://www.mindat.org/1:1:36831:7>
gcmin:allanite-y	Allanite-(Y)	<https://www.mindat.org/1:1:127:2>
gcmin:allanpringite	Allanpringite	<https://www.mindat.org/1:1:27431:9>
gcmin:allantoin	Allantoin	<https://www.mindat.org/1:1:55045:9>
gcmin:allargentum	Allargentum	<https://www.mindat.org/1:1:128:1>
gcmin:alleghanyite	Alleghanyite	<https://www.mindat.org/1:1:129:0>
gcmin:allochalcoselite	Allochalcoselite	<https://www.mindat.org/1:1:27596:5>
gcmin:alloclasite	Alloclasite	<https://www.mindat.org/1:1:134:2>
gcmin:allophane	Allophane	<https://www.mindat.org/1:1:139:7>
gcmin:alloriite	Alloriite	<https://www.mindat.org/1:1:29546:4>
gcmin:alluaivite	Alluaivite	<https://www.mindat.org/1:1:141:2>
gcmin:alluaudite	Alluaudite	<https://www.mindat.org/1:1:142:1>
<https://w3id.org/geochem/1.0/mingroup/29266>	Alluaudite Group	<https://www.mindat.org/1:1:29266:1>
<https://w3id.org/geochem/1.0/mingroup/53044>	Alluaudite Supergroup	<https://www.mindat.org/1:1:53044:6>
gcmin:almandine	Almandine	<https://www.mindat.org/1:1:452:5>
gcmin:almarudite	Almarudite	<https://www.mindat.org/1:1:25681:8>
gcmin:almeidaite	Almeidaite	<https://www.mindat.org/1:1:43884:7>
gcmin:alnaperboeite-ce	Alnaperbøeite-(Ce)	<https://www.mindat.org/1:1:43577:0>
gcmin:alpeite	Alpeite	<https://www.mindat.org/1:1:50779:4>
gcmin:alpersite	Alpersite	<https://www.mindat.org/1:1:27526:6>
gcmin:alsakharovite-zn	Alsakharovite-Zn	<https://www.mindat.org/1:1:26417:2>
gcmin:alstonite	Alstonite	<https://www.mindat.org/1:1:146:7>
gcmin:altaite	Altaite	<https://www.mindat.org/1:1:147:6>
gcmin:alterite	Alterite	<https://www.mindat.org/1:1:53102:9>
gcmin:althausite	Althausite	<https://www.mindat.org/1:1:148:5>
gcmin:althupite	Althupite	<https://www.mindat.org/1:1:149:4>
gcmin:altisite	Altisite	<https://www.mindat.org/1:1:150:0>
