cruise_field_prgrm,normalized,start,END,platform_name,notes
AT150,ATL-150,12/31/1946 22:00,9/10/1947 21:00,Atlantis,
AT152,ATL-152,8/11/1948 21:00,9/12/1948 21:00,Atlantis,
AT153,ATL-153,10/17/1948 22:00,12/5/1948 22:00,Atlantis,
AT156,ATL-156,12/31/1948 22:00,12/31/1948 22:00,Atlantis,
AT157,ATL-157,7/31/1949 21:00,9/10/1949 21:00,Atlantis,
AT158,ATL-158,9/21/1949 21:00,9/29/1949 22:00,Atlantis,
AT159,ATL-159,12/19/1949 22:00,12/19/1949 22:00,Atlantis,
AT161,ATL-161,12/31/1949 22:00,12/31/1949 22:00,Atlantis,
AT160,ATL-160,1/19/1950 22:00,4/2/1950 22:00,Atlantis,
AT162,ATL-162,5/11/1950 21:00,5/17/1950 21:00,Atlantis,
AT164,ATL-164,7/8/1950 21:00,9/20/1950 21:00,Atlantis,
AT172,ATL-172,12/31/1950 22:00,6/4/1951 21:00,Atlantis,
AT173,ATL-173,12/31/1950 22:00,12/31/1950 22:00,Atlantis,
AT167,ATL-167,1/5/1951 22:00,1/21/1951 22:00,Atlantis,
AT179,ATL-179,4/20/1952 22:00,5/26/1952 21:00,Atlantis,
AT180,ATL-180,7/23/1952 21:00,10/2/1952 22:00,Atlantis,
AT181,ATL-181,10/17/1952 22:00,12/3/1952 22:00,Atlantis,
AT185,ATL-185,4/28/1953 21:00,6/8/1953 21:00,Atlantis,
ATL240,ATL-240,11/1/1957 22:00,11/8/1957 22:00,Atlantis,
ATL246,ATL-246,11/1/1958 22:00,11/20/1958 22:00,Atlantis,
ATL251,ATL-251,11/8/1959 22:00,11/29/1959 22:00,Atlantis,
ATL254,ATL-254,2/14/1960 22:00,2/22/1960 22:00,Atlantis,
ATL260,ATL-260,10/11/1960 21:00,10/19/1960 21:00,Atlantis,
ATL266,ATL-266,6/24/1961 21:00,7/22/1961 21:00,Atlantis,
ATL280,ATL-280,6/15/1962 21:00,6/20/1962 21:00,Atlantis,
ATL281,ATL-281,6/27/1962 21:00,6/29/1962 21:00,Atlantis,
ATL282,ATL-282,7/10/1962 21:00,8/6/1962 21:00,Atlantis,
A1-1,ATII-001-01,2/24/1963 22:00,3/27/1963 22:00,Atlantis II,
ATL296,ATL-296,8/4/1963 21:00,8/10/1963 21:00,Atlantis,
ATL297,ATL-297,8/17/1963 21:00,8/23/1963 21:00,Atlantis,
AT03-10,ATII-003-10,1/1/1964,NULL,Atlantis,
A11-2,ATII-011-02,7/4/1964 21:00,7/11/1964 21:00,Atlantis II,
Atlantis II 13 stn429 700m,ATII-013 stn429,9/16/1964 21:00,9/16/1964 21:00,Atlantis II,
A13-1,ATII-013-01,9/18/1964 21:00,9/25/1964 21:00,Atlantis II,
A15-3,ATII-015-03,2/12/1965 22:00,2/18/1965 22:00,Atlantis II,
A15-4,ATII-015-04,2/22/1965 22:00,3/20/1965 22:00,Atlantis II,
A15-5,ATII-015-05,3/20/1965 22:00,4/6/1965 22:00,Atlantis II,
A15-6,ATII-015-06,4/14/1965 22:00,4/14/1965 22:00,Atlantis II,
A15-7,ATII-015-07,5/4/1965 21:00,5/5/1965 21:00,Atlantis II,
A15-13,ATII-015-13,6/10/1965 21:00,6/15/1965 21:00,Atlantis II,
A15-14,ATII-015-14,6/15/1965 21:00,6/19/1965 21:00,Atlantis II,
A15-15,ATII-015-15,6/27/1965 21:00,7/10/1965 21:00,Atlantis II,
A20-1,ATII-020-01,2/15/1966 22:00,5/1/1966 21:00,Atlantis II,
A20-2,ATII-020-02,3/7/1966 22:00,3/24/1966 22:00,Atlantis II,
A20-3,ATII-020-03,4/18/1966 22:00,4/21/1966 22:00,Atlantis II,
A31-1,ATII-031-01,4/8/1967 22:00,4/28/1967 22:00,Atlantis II,
"Atlantis II, Cruise 32 (AII32)",ATII-032,5/14/1967 10:00,5/14/1967 10:00,Atlantis II,adjust so is after ATII-031
A32-1,ATII-032-01,6/5/1967 22:00,6/12/1967 22:00,Atlantis II,
A32-2,ATII-032-02,6/12/1967 22:00,6/16/1967 22:00,Atlantis II,
A32-3,ATII-032-03,7/1/1967 22:00,7/18/1967 22:00,Atlantis II,
