cruise_field_prgrm,noralized label
107-7,ATII-107-07
A032-03,ATII-032-03
A073-01,ATII-073-01
A107-6,ATII-107-06
A107-7,ATII-107-07
A107-9,ATII-107-09
A108-1,ATII-108-01
A108-4,ATII-108-04
A108-5,ATII-108-05
A1-1,ATII-001-01
A11-2,ATII-011-02
A118-14,ATII-118-14
A118-16,ATII-118-16
A118-18,ATII-118-18
A123-2,ATII-123-02
A125-24,ATII-125-24
A125-38,ATII-125-38
A125-8,ATII-125-08
A125-9,ATII-125-09
A13-1,ATII-013-01
A131-08,ATII-131-08
A131-09,ATII-131-09
A131-11,ATII-131-11
A131-12,ATII-131-12
A131-24,ATII-131-24
A132-18,ATII-132-18
A15-13,ATII-015-13
A15-14,ATII-015-14
A15-15,ATII-015-15
A15-3,ATII-015-03
A15-4,ATII-015-04
A15-5,ATII-015-05
A15-6,ATII-015-06
A15-7,ATII-015-07
A20-1,ATII-020-01
A20-2,ATII-020-02
A20-3,ATII-020-03
A2092-02,ATII-092-02
A2-107-7,ATII-107-07
A31-1,ATII-031-01
A32-1,ATII-032-01
A32-2,ATII-032-02
A32-3,ATII-032-03
A33-1,ATII-033-01
A42-1,ATII-042-01
A42-5,ATII-042-05
A49-3,ATII-049-03
A49-4,ATII-049-04
A54-2,ATII-054-02
A59-8,ATII-059-08
A60-2,ATII-060-02
A60-6,ATII-060-06
A60-8,ATII-060-08
A72-1,ATII-072-01
A73-1,ATII-073-01
A77-2,ATII-077-02
A78-2,ATII-078-02
A85-1,ATII-085-01
A85-2,ATII-085-02
A86-3,ATII-086-03
A92-1,ATII-092-01
A92-2,ATII-092-02
A93-12,ATII-093-12
A93-13,ATII-093-13
A93-14,ATII-093-14
A93-18,ATII-093-18
A93-19,ATII-093-19
A93-2,ATII-093-02
A93-6,ATII-093-06
A93-7,ATII-093-07
A94-1,ATII-094-01
A94-2,ATII-094-02
A96-1,ATII-096-01
A96-3,ATII-096-03
A97-2,ATII-097-02
AII 85 stnQCW 0m,ATII-085-stnQCW
AII032-03,ATII-032-03
AII032-3,ATII-032-03
AII073,ATII-073
AII092-02,ATII-092-02
AII107-7,ATII-107-07
AII-118,ATII-118
AT03-10,ATII-003-10
AT03-34,ATII-003-34
AT03-47,ATII-003-47
AT07-04,ATII-007-04
AT07-06,ATII-007-06
AT07-12,ATII-007-12
AT07-13,ATII-007-13
AT07-14,ATII-007-14
AT07-15,ATII-007-15
AT07-16,ATII-007-16
AT07-17,ATII-007-17
AT07-18,ATII-007-18
AT15-06,ATII-015-06
AT15-12,ATII-015-12
AT15-14,ATII-015-14
AT15-17,ATII-015-17
AT26-04,ATII-026-04
ATII-107-8,ATII-107-08
ATII-112,ATII-112
ATII120-02,ATII-120-02
ATII-120-02,ATII-120-02
ATII127,ATII-127
ATII-127,ATII-127
ATII129,ATII-129
Atlantis II 13 stn429 700m,ATII-013 stn429
Atlantis II 49 stn1492 3000m,ATII-049 stn1492
Atlantis II 56 stn1714 500m,ATII-056 stn1714
Atlantis II 78 stn1974 300m,ATII-078 stn1974
Atlantis II 93 stn7 2500m,ATII-093 stn007
Atlantis II cruise 13 stn429 700m,ATII-013 stn429
Atlantis II cruise 32 stn1115 1500m,ATII-032 stn1115
Atlantis II cruise 49 Stn 1495 ,ATII-049 stn1495
Atlantis II cruise 78 station 1999,ATII-078 stn1999
Atlantis II cruise 78 Stn 1919,ATII-078 stn1919
Atlantis II cruise 78 Stn 1928,ATII-078 stn1928
Atlantis II cruise 78 Stn 1953,ATII-078 stn1953
Atlantis II cruise 78 Stn 1954,ATII-078 stn1954
Atlantis II cruise 78 Stn 1958,ATII-078 stn1958
Atlantis II cruise 78 Stn 1970,ATII-078 stn1970
Atlantis II cruise 78 stn1914 150m,ATII-078 stn1914 
Atlantis II cruise 78 stn1915 50m,ATII-078 stn1915 
Atlantis II cruise 78 stn1918 300m,ATII-078 stn1918 
Atlantis II cruise 78 stn1947 100m,ATII-078 stn1947 
Atlantis II cruise 78 stn1986 120m,ATII-078 stn1986 
Atlantis II cruise 78 stn1986 700m,ATII-078 stn1986 
Atlantis II cruise 85 stnQCW 0m,ATII-085 stnQCW
Atlantis II cruise 86 Stn 2171,ATII-086 stn2171
Atlantis II cruise 86 stn2193 300m,ATII-086 stn2193 
Atlantis II cruise 86 stn2193 4000m,ATII-086 stn2193 
Atlantis II cruise 86 stn2193 5000m,ATII-086 stn2193 
Atlantis II cruise 86 stn2193 500m,ATII-086 stn2193 
Atlantis II cruise 86 stn2193 50m,ATII-086 stn2193 
Atlantis II cruise 86 stn2193 700m,ATII-086 stn2193 
"Atlantis II, Cruise 24 (AII12)",ATII-024
"Atlantis II, Cruise 32 (AII32)",ATII-032
NULL,
