"platform_name","count"
"--","513"
" R/V JOIDES Resolution","144"
" RV Maman Benita","26"
" RV Minnow","12"
"10","86"
"11","91"
"13","85"
"14","40"
"15","34"
"16","79"
"17","85"
"19","98"
"20","83"
"21","85"
"4","81"
"5","47"
"510","1"
"6","97"
"7","83"
"8","81"
"9","54"
"Adriatico","1"
"Agulhas","202"
"Akademik B. Petrov","209"
"Akademik Boris Petrov","71"
"Akademik Kurchatov","39"
"Akademik M.A. Lavrentyev","7"
"Alaminos","26"
"Albatross","125"
"Albatross III","12"
"Aleksandr Vinogradov","4"
"Alexander Agassiz","3"
"Alpine","2"
"Alvin","1504"
"ALVIN","148"
"AMNH Collection Trip","7"
"ANDRILL","60"
"Anton Brun","261"
"ARA Islas Orcadas","284"
"Argentinian Sun","1"
"Argentinian Wildcat","1"
"Argo","264"
"ARGO RISE 1","1"
"asdfasdf","1"
"asdfasdfaas","1"
"Asterias","24"
"Astrea","1"
"Atalante","251"
"Atantis","44"
"Atlantic Seal","84"
"Atlantis","5948"
"Atlantis-II","64"
"Atlantis (AGOR-25)","34"
"Atlantis II","5069"
"ATLANTIS II","41"
"Atlantis II - Alvin","5"
"Atlantis II/ ALVIN","1"
"Atlantis II/ALVIN","15"
"Baird","72"
"Bannock","160"
"Bartlett","207"
"Baruna Jaya","121"
"Belgian S.S.","1"
"Bell Telephone Labs","1"
"Bell Telephone Labs (Taken on the Earl of Desmond)","6"
"Bjarni Saemundsson","31"
"Block Island","1"
"Can-Do","34"
"Cape Hatteras","31"
"CAPE HATTERAS","19"
"Cape Henlopen","36"
"CAPE HENLOPEN","20"
"Carr","1"
"CARR","1"
"Caryn","49"
"Chain","1869"
"CHAIN","4"
"Charles Darwin","105"
"Chikyu","225"
"Circe 93","1"
"Columbus Iselin","3"
"Cook","8"
"Cornide de Saavedra","1"
"Cuss-1","3"
"D.Pritchard","54"
"D/V Glomar Challenger","18"
"D/V Joides Resolution","194"
"D/V JOIDES Resolution","46"
"D/V Resolution","97"
"De Steiguer","8"
"Deepsea Miner","1"
"Delaware","6"
"DeSteigeur","6"
"Desteiguer","73"
"DeSteiguer","267"
"Discoverer","40"
"Discovery II","23"
"DLDS","1"
"DODO","1"
"Downwind Expedition","1"
"Drift Station Alpha","14"
"Drift Station Charlie","24"
"e","1"
"E/V Nautilus","1906"
"E/V Nautilus ","1"
"East Wind","2"
"Eastward","552"
"Edisto","9"
"Eltanin","6"
"Endeavor","1282"
"Endeavour","260"
"Ewing","37"
"EWING","16"
"Falkor","35"
"Farnella","413"
"Ferrel","219"
"FV Giljanes","1"
"Gillis","65"
"Gilliss","444"
"Glomar Challenger","459057"
"Goldberger","56"
"Gosnold","44"
"Gould","149"
"Gyre","84"
"H.M.S. Porcupine","1"
"Hafthor","4"
"Hak Maru","8"
"Hak. Maru","3"
"Hakuho Maru","10"
"HAWAII","4"
"Healy","290"
"HMNZS Endeavour III","2"
"Horizon","48"
"Hudson","17"
"Hugh Sharp","24"
"Humboldt Bay","7"
"Ice Island Arliss II","6"
"Ice Island Charlie","2"
"Ice Island T3","174"
"Iolanthe","1"
"Islas Orcadas","19"
"James Cook","322"
"James M. Gilliss","2"
"Jason","1"
"JASON","9"
"Jason Platform","25"
"Jean Charcot","57"
"Joides Resolution","3025725"
"JOIDES Resolution","245"
"Joides Resolution > 304","98"
"JW Powell","4"
"KaBoat Platform","12"
"Kairei","10"
"Kaiyo","10"
"Kana Keoki","1243"
"Kana Keoki?","4"
"Kane","11"
"Kelez","41"
"Kevin Moran","126"
"Kilo Moana","1672"
"Knorr","3979"
"KNORR","19"
"L'Atalante","117"
"L. Walford","265"
"Land Drill","25"
"Le Noroit","1"
"Long Lines","2"
"Lord Kelvin","3"
"Lynch","203"
"M/V Alucia","143"
"m/v Samantha Miller","70"
"Marcus G Langseth","13"
"Marcus G. Langseth","45"
"Marion Dufresne","3219"
"Maritime Explorer","15"
"Maritime Maid","247"
"Maurice Ewing","428"
"Melville","5771"
"Melville Gloria","41"
"Meteor","22"
"Moana Wave","271"
"Mother Goose II","12"
"Mott Drilling Co.","1"
"Mount Mitchell","10"
"Mozorola, Morrito #2","45"
"Mt. Mitchell","1"
"MV Thunderforce","465"
"myplatform","1"
"myplatform ID","43"
"Mystique","31"
"n","1"
"Nadir","86"
"Name of platform for the cruise.","3"
"Name of platform ie USCGC Healy","3"
"Nathanial B. Palmer","7"
"Nathaniel B Palmer","2059"
"Nathaniel B. Palmer","6151"
"Nautile","3"
"NB Palmer","13"
"NEJTW","1"
"Nesmeyanov","26"
"New Horizon","535"
"NEW HORIZON","132"
"New York Bight","20"
"NOAA Ship Miller Freeman","1"
"Northwind","22"
"Not Applicable","1542"
"NotApplicable","1283"
"NRV Alliance","9"
"Oceanographer","2067"
"Oceanus","419"
"OCEANUS","9"
"Oden","9"
"Okeanos Explorer","51"
"Onrust","53"
"Orange Rockland/Nyack","15"
"Orca Basin","4"
"Palmer","155"
"Parizeau","11"
"PELICAN","33"
"Pillsbury","19"
"Pilsbury","6"
"Pisces IV","44"
"Pisces IV?","1"
"Platform name","1"
"POINT SUR","20"
"Polar Duke","245"
"Polar Star","151"
"Polar Stern","6"
"Polarstern","77"
"Pourquoi Pas","15"
"Pourquoi Pas ?","871"
"Pourquoi Pas ? ","809"
"Pourquoi Pas?","38"
"POURQUOIPAS?","436"
"Prof. Shtockman","1"
"Prof. Shtokman","10"
"PT INCO","47"
"Quest","5"
"R.V. Thompson","1"
"R/V Aegaeo","72"
"R/V Agulhas","19"
"R/V Akademik","19"
"R/V Akademik Boris Petrov","49"
"R/V Akademik Kurchatov","3"
"R/V APALACHEE","1"
"R/V Atlantis","10704"
"r/v Atlantis II","17"
"R/V Atlantis II","1192"
"R/V Billie","52"
"R/V Bjarni Saemundsson","38"
"R/V Blue Heron","53"
"R/V Brown Bear","99"
"r/v Chain","6"
"R/V Chain","1"
"R/V Charles Darwin","1"
"R/V Coastal Profiler","17"
"R/V Donald Pritchard","303"
"r/v Endeavor","10"
"R/V Endeavor","127"
"R/V Falkor","535"
"R/V Falkor (too)","71"
"R/V Gilliss","9"
"R/V Hakurei-maru","1"
"R/V Hakurei-Maru","1"
"R/V Hakurei-MARU","43"
"R/V Italica","25"
"R/V Jean Charcot","29"
"R/V JOIDES Resolution","54"
"R/V Kaimikai-o-Kanaloa","141"
"R/V Kairei","2"
"R/V Kaiyo","65"
"R/V Kana Keoki","30"
"R/V KANA KEOKI","6"
"R/V Kelez","3"
"R/V Kilo Moana","372"
"r/v Knorr","53"
"R/V Knorr","2763"
"R/V Laurence M. Gould","155"
"R/V Laurenece M. Gould","7"
"R/V Le Nadir","6"
"R/V Lulu","4"
"R/V Marcus G. Langseth","4"
"R/V Marion-Dufresne","16"
"R/V Marion Dufresne","656"
"R/V Maritime Maid","154"
"R/V Maurice Ewing","37"
"R/V Melville","27"
"R/V Meteor","47"
"R/V Meteor ","373"
"R/V Moana Wave","466"
"R/V MOANA WAVE","74"
"R/V Nathaniel B Palmer","1459"
"R/V Nathaniel B. Palmer","1176"
"R/V Natsushima","11"
"R/V Neil Armstrong","119"
"R/V New Horizon","348"
"R/V Pelican","70"
"R/V Pillsbury","2"
"r/v Pioneer","9"
"R/V Point Sur","12"
"R/V Polarstern","13"
"R/V Polastern","1"
"R/V Poseidon","246"
"R/V Pritchard","28"
"R/V Prospector","1"
"R/V Robert D. Conrad","135"
"R/V Roger Revelle","643"
"R/V Ronald H. Brown","65"
"R/V Sally Ride","302"
"R/V Sarmiento de Gamboa","9"
"R/V Seawolf","70"
"R/V Seward Johnson","14"
"r/v Shearwater","20"
"R/V Sonne","310"
"R/V Southern Surveyor","301"
"R/V Sur Austral","1"
"R/V Tansei- Maru","5"
"R/V TANSEI-MARU","18"
"R/V TG Thompson","74"
"R/V Thomas G. Thompson","44"
"r/v Thomas Washington","10"
"R/V Thomas Washington","39"
"R/V Thompson","34"
"R/V Trident","616"
"R/V Urania","4"
"R/V Valdivia","2"
"R/V Vema","11"
"R/V Wecoma","16"
"R/V Western Flyer","3603"
"R/V Yaquina","4"
"R/V Yokosuka","220"
"R/V YOKOSUKA","6"
"Rama","3"
"Rapuhia","24"
"REHOBOTH","101"
"Researcher","836"
"Researcher 300","16"
"Ricky-0Ticky","2"
"RNZFA Tui","1"
"Robert Conrad","706"
"Robert D Conrad","3"
"Robert D. Conrad","5306"
"Robert Hays","12"
"Roger Revelle","815"
"Ron Brown","31"
"Ronald Brown","29"
"RV Annie","21"
"RV Avon","69"
"RV Blue Heron","156"
"RV Endeavor","24"
"RV EZR Diane","3"
"RV Halcyon","13"
"RV Happy","138"
"RV Ibis","13"
"RV JOIDES Resolution","218"
"RV Kerry Kelts","91"
"RV Kilindi","62"
"RV KRKII","398"
"RV LeConte","2"
"RV Liloya","21"
"RV Mark Griffith","1"
"RV Molly McGlue","5"
"RV MPCA Hewes","1"
"RV Multor","19"
"RV Nathaniel B Palmer","18"
"RV Ndunduma","16"
"RV Neuston","18"
"RV Nuha","1"
"RV Orion","50"
"RV Pelican","58"
"RV Pritchard","108"
"RV Rangatahi II","2"
"RV Seawolf","216"
"RV Sonne","70"
"RV Topi","5"
