"platform_name","platform_type"
"--","Ship"
" R/V JOIDES Resolution",NULL
" RV Maman Benita",NULL
" RV Minnow",NULL
"10",NULL
"11",NULL
"13",NULL
"14",NULL
"15",NULL
"16",NULL
"17",NULL
"19",NULL
"20",NULL
"21",NULL
"4",NULL
"5",NULL
"510","Ship"
"6",NULL
"7",NULL
"8",NULL
"9",NULL
"Adriatico","Ship"
"Agulhas","Ship"
"Akademik B. Petrov","Ship"
"Akademik Boris Petrov","Ship"
"Akademik Kurchatov","Ship"
"Akademik M.A. Lavrentyev","Ship"
"Alaminos","Ship"
"Albatross","Ship"
"Albatross III","Ship"
"Aleksandr Vinogradov","Ship"
"Alexander Agassiz","Ship"
"Alpine","AUV"
"Alvin","AUV"
"Alvin","HOV"
"Alvin","Ship"
"Alvin","Submersible / HOV"
"ALVIN","Ship"
"ALVIN","Submersible / HOV"
"AMNH Collection Trip",NULL
"ANDRILL","Ice Shelf"
"Anton Brun","Ship"
"ARA Islas Orcadas","Ship"
"Argentinian Sun","Ship"
"Argentinian Wildcat","Ship"
"Argo","Ship"
"ARGO RISE 1","Ship"
"asdfasdf","Ship"
"asdfasdfaas","Ship"
"Asterias","Ship"
"Astrea","Ship"
"Atalante","ship"
"Atantis","Ship"
"Atlantic Seal","Ship"
"Atlantis","Ship"
"Atlantis",NULL
"Atlantis-II","Ship"
"Atlantis (AGOR-25)","Ship"
"Atlantis II","ship"
"Atlantis II","Ship"
"ATLANTIS II","Ship"
"Atlantis II - Alvin","ROV"
"Atlantis II/ ALVIN","Ship"
"Atlantis II/ALVIN","Ship"
"Baird","Ship"
"Bannock","Ship"
"Bartlett","Ship"
"Baruna Jaya","Ship"
"Belgian S.S.","Ship"
"Bell Telephone Labs","Ship"
"Bell Telephone Labs (Taken on the Earl of Desmond)","Ship"
"Bjarni Saemundsson","Ship"
"Bjarni Saemundsson",NULL
"Block Island","Ship"
"Can-Do","Ship"
"Cape Hatteras","Ship"
"CAPE HATTERAS","Ship"
"Cape Henlopen","Ship"
"CAPE HENLOPEN","Ship"
"Carr","Ship"
"CARR","CAS"
"Caryn","Ship"
"Chain","ship"
"Chain","Ship"
"CHAIN","ship"
"Charles Darwin","Ship"
"Chikyu","Drillship"
"Chikyu","Ship"
"Chikyu",NULL
"Circe 93","Ship"
"Columbus Iselin","Ship"
"Cook","Ship"
"Cornide de Saavedra","Research vessel"
"Cuss-1","Ship"
"D.Pritchard","Ship"
"D/V Glomar Challenger","Ship"
"D/V Glomar Challenger",NULL
"D/V Joides Resolution","Drilling Vessel"
"D/V JOIDES Resolution",NULL
"D/V Resolution","Ship"
"De Steiguer","Ship"
"Deepsea Miner","Ship"
"Delaware","Ship"
"DeSteigeur","Ship"
"Desteiguer","Ship"
"DeSteiguer","Ship"
"Discoverer","Ship"
"Discovery II","Ship"
"DLDS","Platform"
"DODO","Ship"
"Downwind Expedition","Ship"
"Drift Station Alpha","Platform"
"Drift Station Charlie","Ice Island"
"Drift Station Charlie","Platform"
"e","Ship"
"E/V Nautilus","ship"
"E/V Nautilus","Ship"
"E/V Nautilus",NULL
"E/V Nautilus ",NULL
"East Wind","Ship"
"Eastward","Ship"
"Edisto","Ship"
"Eltanin","Ship"
"Eltanin",NULL
