"sample_type_id","name","count"
33,"Bead","40"
31,"Chemical Fraction","181"
4,"Core","124096"
41,"Core Catcher","2"
8,"Core Half Round","12719"
10,"Core Piece","35426"
9,"Core Quarter Round","566"
5,"Core Section","304296"
6,"Core Section Half","594429"
42,"Core Slab","3"
11,"Core Sub-Piece","314729"
7,"Core Whole Round","393"
36,"CTD","271"
20,"Cube","20"
34,"Culture","350"
3,"Cuttings","78342"
21,"Cylinder","262"
12,"Dredge","40555"
38,"Experimental Specimen","1031"
25,"Gas","16"
1,"Grab","20536"
2,"Hole","29146"
15,"Individual Sample","2931754"
26,"Liquid","8365"
30,"Mechanical Fraction","2513"
17,"Oriented Core","1131"
14,"Other","7432"
40,"Other","15"
32,"Powder","15807"
35,"Rock Powder","3386"
37,"Site","5383"
19,"Slab","4472"
29,"Smear","47"
23,"Specimen","578377"
13,"Terrestrial Section","15730"
28,"Thin Section","7148"
39,"Thin Section","29"
24,"Toothpick","58"
16,"Trawl","230"
