"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
3,"1154","10140","Ft.",NULL,NULL,NULL
3,"2146","3021","Ft.",NULL,NULL,NULL
3,"140","2000","Ft.",NULL,NULL,NULL
3,"14700","15800","Ft.",NULL,NULL,NULL
3,"56","1180","feet",NULL,NULL,NULL
3,"1504","9687","Ft.",NULL,NULL,NULL
3,"670","7200","Ft.",NULL,NULL,NULL
3,"1650","2145","Ft.",NULL,NULL,NULL
3,"1685","2175","Ft.",NULL,NULL,NULL
3,"200","2475","Ft.",NULL,NULL,NULL
3,"5885","7079","Ft.",NULL,NULL,NULL
3,"1426","1432","Ft.",NULL,NULL,NULL
3,"3800","10634","Ft.",NULL,NULL,NULL
3,"600","3890","Ft.",NULL,NULL,NULL
3,"6000","13021","Ft.",NULL,NULL,NULL
3,"1363","4987","Ft.",NULL,NULL,NULL
3,"2283","7503","Ft.",NULL,NULL,NULL
3,"2800","4446","Ft.",NULL,NULL,NULL
3,"885","1255","Ft.",NULL,NULL,NULL
3,"350","3020","Ft.",NULL,NULL,NULL
3,"1000","6220","Ft.",NULL,NULL,NULL
3,"2057","3282","Ft.",NULL,NULL,NULL
3,"1633","1633","Ft.",NULL,NULL,NULL
3,"5040","6920","Ft.",NULL,NULL,NULL
3,"4661","8580","Ft.",NULL,NULL,NULL
3,"7300","9765","Ft.",NULL,NULL,NULL
3,"120","5910","Ft.",NULL,NULL,NULL
3,"6304","8504","Ft.",NULL,NULL,NULL
3,"9070","11850","Ft.",NULL,NULL,NULL
3,"3983","8489","Ft.",NULL,NULL,NULL
3,"2800","3305","Ft.",NULL,NULL,NULL
3,"0","6118","Ft.",NULL,NULL,NULL
3,"8300","13800","Ft.",NULL,NULL,NULL
3,"2450","2951","Ft.",NULL,NULL,NULL
3,"500","7010","Ft.",NULL,NULL,NULL
3,"885","6987","Ft.",NULL,NULL,NULL
3,"260","2420","Ft.",NULL,NULL,NULL
3,"2025","2816","Ft.",NULL,NULL,NULL
3,"4410","5920","Ft.",NULL,NULL,NULL
3,"180","6400","Ft.",NULL,NULL,NULL
3,"5125","7485","Ft.",NULL,NULL,NULL
3,"1993","5493","Ft.",NULL,NULL,NULL
3,"327","8820","Ft.",NULL,NULL,NULL
3,"1765","1775","Ft.",NULL,NULL,NULL
3,"2530","5770","Ft.",NULL,NULL,NULL
3,"3734","3750","Ft.",NULL,NULL,NULL
3,"1412","6016","Ft.",NULL,NULL,NULL
3,"265","2230","Ft.",NULL,NULL,NULL
3,"3000","20800","Ft.",NULL,NULL,NULL
3,"965","1468","Ft.",NULL,NULL,NULL
3,"2987","6838","Ft.",NULL,NULL,NULL
