"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
15,NULL,NULL,NULL,"171.8","171.8",NULL
28,"38",NULL,"Feet",NULL,NULL,NULL
15,NULL,NULL,NULL,"-3081",NULL,NULL
15,"40","45","cm","2.03",NULL,NULL
15,NULL,NULL,NULL,"1577",NULL,NULL
15,NULL,NULL,NULL,"-19.6624",NULL,NULL
15,NULL,NULL,NULL,"3048",NULL,NULL
15,NULL,NULL,NULL,"-520.92",NULL,NULL
15,NULL,NULL,NULL,"-0.315656",NULL,NULL
15,"105.339","105.349","m",NULL,NULL,NULL
16,NULL,NULL,NULL,"-596","-596",NULL
15,"308","315","CMBS",NULL,NULL,NULL
15,NULL,NULL,NULL,"-3224.3",NULL,NULL
15,"311","358","cm",NULL,NULL,NULL
15,"367","372","cm","0.065",NULL,NULL
23,NULL,NULL,NULL,"2915",NULL,NULL
26,"60","65","cm bct","-5515",NULL,NULL
32,"452.14","452.15","mbsf",NULL,NULL,NULL
15,"110","114","CMBS",NULL,NULL,NULL
15,"87.85",NULL,"mbsf","-5817.6",NULL,NULL
15,NULL,NULL,NULL,"-0.757813",NULL,NULL
15,"137.79","137.79","MCD","492",NULL,NULL
15,"15","15","cm","416.9664",NULL,NULL
28,"88","89","Feet",NULL,NULL,NULL
15,NULL,NULL,NULL,"-4.78253",NULL,NULL
32,"5","12",NULL,NULL,NULL,NULL
15,NULL,NULL,NULL,"1102",NULL,NULL
15,"525","535","cm","2807",NULL,NULL
15,NULL,NULL,NULL,"-23.6023",NULL,NULL
15,NULL,NULL,NULL,"2821",NULL,NULL
28,NULL,NULL,NULL,"89",NULL,NULL
15,"65","68","cm","-0.462",NULL,NULL
15,"410",NULL,"cm",NULL,NULL,NULL
15,NULL,NULL,NULL,NULL,"-1561",NULL
15,NULL,NULL,NULL,"-1449.4",NULL,NULL
15,NULL,NULL,NULL,"-0.392233",NULL,NULL
15,"230","235","CMBS",NULL,NULL,NULL
23,NULL,NULL,NULL,"1988",NULL,NULL
15,NULL,NULL,NULL,"-703.794",NULL,NULL
15,NULL,NULL,NULL,"0.118446",NULL,NULL
15,NULL,NULL,NULL,"1.73313",NULL,NULL
15,"690","695","cm","3464",NULL,NULL
23,NULL,NULL,NULL,"42",NULL,NULL
15,"180","186","cm","4.11",NULL,NULL
15,"240","260","CMBS",NULL,NULL,NULL
15,NULL,NULL,NULL,"-2226.3",NULL,NULL
15,"16.783","16.933","m",NULL,NULL,NULL
15,NULL,NULL,NULL,"-1.26441",NULL,NULL
15,NULL,NULL,NULL,"-664.553",NULL,NULL
23,NULL,NULL,NULL,"501",NULL,NULL
15,NULL,NULL,NULL,"-30.4933",NULL,NULL
15,NULL,NULL,NULL,"-1591.7",NULL,NULL
15,"28","38","cm",NULL,NULL,NULL
15,NULL,NULL,NULL,"-12.6975",NULL,NULL
15,NULL,NULL,NULL,"4500",NULL,NULL
15,"225.41",NULL,"MBSF","-2827.9",NULL,NULL
15,NULL,NULL,NULL,"-1107.9",NULL,NULL
