"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
7,"20","50","feet",NULL,NULL,NULL
7,"30","60","feet",NULL,NULL,NULL
7,"50","100","feet",NULL,NULL,NULL
7,"90","100","feet",NULL,NULL,NULL
7,"190","200","feet",NULL,NULL,NULL
7,"6924","6924.2","feet",NULL,NULL,NULL
7,"8643","8644","MD Feet","57",NULL,NULL
7,"8656.15","8657.15","MD Feet","57",NULL,NULL
7,"8663.1","8664.1","MD Feet","57",NULL,NULL
7,"9014","9015","MD Feet","60",NULL,NULL
7,"9024","9025","MD Feet","60",NULL,NULL
7,"9034","9035","MD Feet","60",NULL,NULL
7,"9044","9045","MD Feet","60",NULL,NULL
7,"9054","9055","MD Feet","60",NULL,NULL
7,"9064","9065","MD Feet","60",NULL,NULL
7,"9074","9075","MD Feet","60",NULL,NULL
7,"9084","9085","MD Feet","60",NULL,NULL
7,"10577.3","10578.3","MD Feet","57",NULL,NULL
7,"10587.3","10588.3","MD Feet","57",NULL,NULL
7,"10590.3","10591.3","MD Feet","57",NULL,NULL
7,"10604.9","10605.9","MD Feet","57",NULL,NULL
7,"10614","10615","MD Feet","60",NULL,NULL
7,"10615","10616","MD Feet","57",NULL,NULL
7,"10624","10625","MD Feet","60",NULL,NULL
7,"10625","10626","MD Feet","57",NULL,NULL
7,"10630","10631","MD Feet","57",NULL,NULL
7,"10633","10634","MD Feet","57",NULL,NULL
7,"10634","10635","MD Feet","60",NULL,NULL
7,"10643","10644","MD Feet","57",NULL,NULL
7,"10644","10645","MD Feet","60",NULL,NULL
7,"10653","10654","MD Feet","57",NULL,NULL
7,"10654","10655","MD Feet","60",NULL,NULL
7,"10665","10665","MD Feet","60",NULL,NULL
7,"10674","10675","MD Feet","60",NULL,NULL
7,"10684","10685","MD Feet","60",NULL,NULL
7,"10694","10695","MD Feet","60",NULL,NULL
7,"10704","10705","MD Feet","60",NULL,NULL
7,"10714","10715","MD Feet","60",NULL,NULL
7,"10724","10725","MD Feet","60",NULL,NULL
7,"10734","10735","MD Feet","60",NULL,NULL
7,"10744","10745","MD Feet","60",NULL,NULL
7,"10756","10757","MD Feet","60",NULL,NULL
7,"10766","10767","MD Feet","60",NULL,NULL
7,"10776","10777","MD Feet","60",NULL,NULL
7,"10786","10787","MD Feet","60",NULL,NULL
7,"10796","10797","MD Feet","60",NULL,NULL
7,"10806","10807","MD Feet","60",NULL,NULL
7,"10816","10817","MD Feet","60",NULL,NULL
7,"10826","10827","MD Feet","60",NULL,NULL
7,"10836","10837","MD Feet","60",NULL,NULL
7,"10869","10870","MD Feet","60",NULL,NULL
7,"10880","10881","MD Feet","60",NULL,NULL
7,"10890","10891","MD Feet","60",NULL,NULL
7,"10900","10901","MD Feet","60",NULL,NULL
7,"10910","10911","MD Feet","60",NULL,NULL
7,"10920","10921","MD Feet","60",NULL,NULL
7,"10930","10931","MD Feet","60",NULL,NULL
7,NULL,NULL,NULL,"-5697",NULL,NULL
7,NULL,NULL,NULL,"-5306",NULL,NULL
7,NULL,NULL,NULL,"-5283",NULL,NULL
7,NULL,NULL,NULL,"-5127",NULL,NULL
7,NULL,NULL,NULL,"-5076",NULL,NULL
7,NULL,NULL,NULL,"-4285",NULL,NULL
7,NULL,NULL,NULL,"-3739",NULL,NULL
7,NULL,NULL,NULL,"-227",NULL,NULL
7,NULL,NULL,NULL,"119",NULL,NULL
7,NULL,NULL,NULL,"121",NULL,NULL
7,NULL,NULL,NULL,"122",NULL,NULL
7,NULL,NULL,NULL,"123",NULL,NULL
7,NULL,NULL,NULL,"124",NULL,NULL
7,NULL,NULL,NULL,"126",NULL,NULL
7,NULL,NULL,NULL,"127",NULL,NULL
7,NULL,NULL,NULL,"128",NULL,NULL
7,NULL,NULL,NULL,"134",NULL,NULL
7,NULL,NULL,NULL,"135",NULL,NULL
7,NULL,NULL,NULL,"139",NULL,NULL
7,NULL,NULL,NULL,"143",NULL,NULL
7,NULL,NULL,NULL,"146",NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,NULL
8,"1","1.2","meter","3.464",NULL,NULL
8,"1","2","meter","-0.389",NULL,NULL
8,"1","2","meter","0.509",NULL,NULL
8,"1","2","meter","0.619",NULL,NULL
8,"1","2","meter","0.81",NULL,NULL
8,"1.8","2.8","meter","-0.665",NULL,NULL
8,"2","3","meter","-0.389",NULL,NULL
8,"2","3","meter","0.329",NULL,NULL
8,"2","3","meter","0.509",NULL,NULL
8,"2","3","meter","0.619",NULL,NULL
8,"2","3","meter","0.81",NULL,NULL
8,"2.6","3.4","meter","3.464",NULL,NULL
8,"3","4","meter","-0.389",NULL,NULL
8,"3","4","meter","0.329",NULL,NULL
8,"3","4","meter","0.619",NULL,NULL
8,"3","4","meter","0.81",NULL,NULL
8,"4","5","meter","-0.389",NULL,NULL
8,"4","5","meter","0.329",NULL,NULL
8,"4","5","meter","0.619",NULL,NULL
8,"4","5","meter","0.81",NULL,NULL
8,"4.2","5","meter","3.464",NULL,NULL
8,"4.8","5.8","meter","-0.665",NULL,NULL
8,"5","6","meter","-0.389",NULL,NULL
8,"5","6","meter","0.329",NULL,NULL
8,"5","6","meter","0.509",NULL,NULL
8,"5","6","meter","0.619",NULL,NULL
8,"5","6","meter","0.81",NULL,NULL
8,"5.8","6.8","meter","-0.665",NULL,NULL
8,"6","7","meter","-0.665",NULL,NULL
8,"6","7","meter","-0.183",NULL,NULL
8,"6","7","meter","0.329",NULL,NULL
8,"6","7","meter","0.81",NULL,NULL
8,"6.8","7.8","meter","-0.665",NULL,NULL
8,"7","8","meter","0.329",NULL,NULL
8,"8","9","meter","0.329",NULL,NULL
8,"9","10","meter","0.329",NULL,NULL
8,"9.8","10.6","meter","3.464",NULL,NULL
8,"10","11","meter","0.329",NULL,NULL
8,"13","13.6","meter","3.464",NULL,NULL
8,"13.8","14.6","meter","3.464",NULL,NULL
8,"14.5","15.4","meter","3.464",NULL,NULL
8,"15.82","15.82","cm",NULL,NULL,NULL
8,"17.44","17.44","cm",NULL,NULL,NULL
8,"18.96","18.96","cm",NULL,NULL,NULL
8,"20.48","20.48","cm",NULL,NULL,NULL
8,"22.1","22.1","cm",NULL,NULL,NULL
8,"23.72","23.72","cm",NULL,NULL,NULL
8,"25.34","25.34","cm",NULL,NULL,NULL
8,"26.96","26.96","cm",NULL,NULL,NULL
8,"28.58","28.58","cm",NULL,NULL,NULL
8,"30.2","30.2","cm",NULL,NULL,NULL
8,"31.99","31.99","cm",NULL,NULL,NULL
8,"32.37","32.37","cm",NULL,NULL,NULL
8,"32.42","32.42","cm",NULL,NULL,NULL
8,"33.115","33.115","cm",NULL,NULL,NULL
8,"33.265","33.265","cm",NULL,NULL,NULL
8,"33.87","33.87","cm",NULL,NULL,NULL
8,"33.998","33.998","cm",NULL,NULL,NULL
8,"34.373","34.373","cm",NULL,NULL,NULL
8,"34.579","34.579","cm",NULL,NULL,NULL
8,"34.899","34.899","cm",NULL,NULL,NULL
8,"35.536","35.536","cm",NULL,NULL,NULL
8,"35.859","35.859","cm",NULL,NULL,NULL
8,"36.703","36.703","cm",NULL,NULL,NULL
8,"36.95","36.95","cm",NULL,NULL,NULL
8,"37.37","37.37","cm",NULL,NULL,NULL
8,"37.486","37.486","cm",NULL,NULL,NULL
8,"37.54","37.54","cm",NULL,NULL,NULL
8,"37.922","37.922","cm",NULL,NULL,NULL
8,"38.055","38.055","cm",NULL,NULL,NULL
8,"38.205","38.205","cm",NULL,NULL,NULL
8,"39.117","39.117","cm",NULL,NULL,NULL
8,"39.16","39.16","cm",NULL,NULL,NULL
8,"39.191","39.191","cm",NULL,NULL,NULL
8,"39.248","39.248","cm",NULL,NULL,NULL
8,"39.55","39.55","cm",NULL,NULL,NULL
8,"40.209","40.209","cm",NULL,NULL,NULL
8,"40.435","40.435","cm",NULL,NULL,NULL
8,"40.469","40.469","cm",NULL,NULL,NULL
8,"40.54","40.54","cm",NULL,NULL,NULL
8,"40.78","40.78","cm",NULL,NULL,NULL
8,"41.364","41.364","cm",NULL,NULL,NULL
8,"41.4","41.4","cm",NULL,NULL,NULL
8,"41.568","41.568","cm",NULL,NULL,NULL
8,"41.829","41.829","cm",NULL,NULL,NULL
8,"42","42","cm",NULL,NULL,NULL
8,"42.105","42.105","cm",NULL,NULL,NULL
8,"42.4","42.4","cm",NULL,NULL,NULL
8,"42.644","42.644","cm",NULL,NULL,NULL
8,"42.652","42.652","cm",NULL,NULL,NULL
8,"43.335","43.335","cm",NULL,NULL,NULL
8,"43.705","43.705","cm",NULL,NULL,NULL
8,"43.742","43.742","cm",NULL,NULL,NULL
8,"43.939","43.939","cm",NULL,NULL,NULL
8,"44.006","44.006","cm",NULL,NULL,NULL
8,"44.02","44.02","cm",NULL,NULL,NULL
8,"44.07","44.07","cm",NULL,NULL,NULL
8,"44.285","44.285","cm",NULL,NULL,NULL
8,"44.29","44.29","cm",NULL,NULL,NULL
8,"44.77","44.77","cm",NULL,NULL,NULL
8,"45.001","45.001","cm",NULL,NULL,NULL
8,"45.15","45.15","cm",NULL,NULL,NULL
8,"45.293","45.293","cm",NULL,NULL,NULL
8,"45.64","45.64","cm",NULL,NULL,NULL
8,"45.82","45.82","cm",NULL,NULL,NULL
8,"45.981","45.981","cm",NULL,NULL,NULL
8,"46.014","46.014","cm",NULL,NULL,NULL
8,"46.32","46.32","cm",NULL,NULL,NULL
8,"46.337","46.337","cm",NULL,NULL,NULL
8,"46.34","46.34","cm",NULL,NULL,NULL
8,"46.447","46.447","cm",NULL,NULL,NULL
8,"46.888","46.888","cm",NULL,NULL,NULL
8,"47.26","47.26","cm",NULL,NULL,NULL
8,"47.31","47.31","cm",NULL,NULL,NULL
8,"47.32","47.32","cm",NULL,NULL,NULL
8,"47.44","47.44","cm",NULL,NULL,NULL
8,"47.633","47.633","cm",NULL,NULL,NULL
8,"47.72","47.72","cm",NULL,NULL,NULL
8,"47.987","47.987","cm",NULL,NULL,NULL
8,"48.146","48.146","cm",NULL,NULL,NULL
8,"48.237","48.237","cm",NULL,NULL,NULL
8,"48.659","48.659","cm",NULL,NULL,NULL
8,"48.88","48.88","cm",NULL,NULL,NULL
8,"48.937","48.937","cm",NULL,NULL,NULL
8,"49.06","49.06","cm",NULL,NULL,NULL
8,"49.07","49.07","cm",NULL,NULL,NULL
8,"49.744","49.744","cm",NULL,NULL,NULL
8,"49.847","49.847","cm",NULL,NULL,NULL
8,"50.009","50.009","cm",NULL,NULL,NULL
8,"50.08","50.08","cm",NULL,NULL,NULL
8,"50.148","50.148","cm",NULL,NULL,NULL
8,"50.149","50.149","cm",NULL,NULL,NULL
8,"50.405","50.405","cm",NULL,NULL,NULL
8,"50.5","50.5","cm",NULL,NULL,NULL
8,"50.575","50.575","cm",NULL,NULL,NULL
8,"50.68","50.68","cm",NULL,NULL,NULL
8,"51.08","51.08","cm",NULL,NULL,NULL
8,"51.264","51.264","cm",NULL,NULL,NULL
8,"51.406","51.406","cm",NULL,NULL,NULL
8,"51.426","51.426","cm",NULL,NULL,NULL
8,"51.68","51.68","cm",NULL,NULL,NULL
8,"51.833","51.833","cm",NULL,NULL,NULL
8,"52.12","52.12","cm",NULL,NULL,NULL
8,"52.237","52.237","cm",NULL,NULL,NULL
8,"52.291","52.291","cm",NULL,NULL,NULL
8,"52.3","52.3","cm",NULL,NULL,NULL
8,"52.332","52.332","cm",NULL,NULL,NULL
8,"53.034","53.034","cm",NULL,NULL,NULL
8,"53.068","53.068","cm",NULL,NULL,NULL
8,"53.306","53.306","cm",NULL,NULL,NULL
8,"53.42","53.42","cm",NULL,NULL,NULL
8,"53.426","53.426","cm",NULL,NULL,NULL
8,"53.44","53.44","cm",NULL,NULL,NULL
8,"53.467","53.467","cm",NULL,NULL,NULL
8,"53.899","53.899","cm",NULL,NULL,NULL
8,"53.92","53.92","cm",NULL,NULL,NULL
8,"54.375","54.375","cm",NULL,NULL,NULL
8,"54.44","54.44","cm",NULL,NULL,NULL
8,"54.583","54.583","cm",NULL,NULL,NULL
8,"54.73","54.73","cm",NULL,NULL,NULL
8,"54.753","54.753","cm",NULL,NULL,NULL
8,"54.76","54.76","cm",NULL,NULL,NULL
8,"54.895","54.895","cm",NULL,NULL,NULL
8,"55.54","55.54","cm",NULL,NULL,NULL
8,"55.561","55.561","cm",NULL,NULL,NULL
8,"55.66","55.66","cm",NULL,NULL,NULL
8,"55.772","55.772","cm",NULL,NULL,NULL
8,"56.137","56.137","cm",NULL,NULL,NULL
8,"56.226","56.226","cm",NULL,NULL,NULL
8,"56.35","56.35","cm",NULL,NULL,NULL
8,"56.38","56.38","cm",NULL,NULL,NULL
8,"56.506","56.506","cm",NULL,NULL,NULL
8,"56.519","56.519","cm",NULL,NULL,NULL
8,"56.795","56.795","cm",NULL,NULL,NULL
8,"56.824","56.824","cm",NULL,NULL,NULL
8,"56.93","56.93","cm",NULL,NULL,NULL
8,"57.16","57.16","cm",NULL,NULL,NULL
8,"57.35","57.35","cm",NULL,NULL,NULL
8,"57.438","57.438","cm",NULL,NULL,NULL
8,"57.813","57.813","cm",NULL,NULL,NULL
8,"57.93","57.93","cm",NULL,NULL,NULL
8,"58.05","58.05","cm",NULL,NULL,NULL
8,"58.181","58.181","cm",NULL,NULL,NULL
8,"58.225","58.225","cm",NULL,NULL,NULL
8,"58.598","58.598","cm",NULL,NULL,NULL
8,"58.599","58.599","cm",NULL,NULL,NULL
8,"58.78","58.78","cm",NULL,NULL,NULL
8,"58.821","58.821","cm",NULL,NULL,NULL
8,"59.037","59.037","cm",NULL,NULL,NULL
8,"59.166","59.166","cm",NULL,NULL,NULL
8,"59.37","59.37","cm",NULL,NULL,NULL
8,"59.483","59.483","cm",NULL,NULL,NULL
8,"59.58","59.58","cm",NULL,NULL,NULL
8,"59.72","59.72","cm",NULL,NULL,NULL
8,"59.785","59.785","cm",NULL,NULL,NULL
8,"59.89","59.89","cm",NULL,NULL,NULL
8,"60.046","60.046","cm",NULL,NULL,NULL
8,"60.4","60.4","cm",NULL,NULL,NULL
8,"60.453","60.453","cm",NULL,NULL,NULL
8,"60.645","60.645","cm",NULL,NULL,NULL
8,"60.671","60.671","cm",NULL,NULL,NULL
8,"60.772","60.772","cm",NULL,NULL,NULL
8,"60.809","60.809","cm",NULL,NULL,NULL
8,"60.877","60.877","cm",NULL,NULL,NULL
8,"61.04","61.04","cm",NULL,NULL,NULL
8,"61.103","61.103","cm",NULL,NULL,NULL
8,"61.295","61.295","cm",NULL,NULL,NULL
8,"61.657","61.657","cm",NULL,NULL,NULL
8,"61.708","61.708","cm",NULL,NULL,NULL
8,"61.826","61.826","cm",NULL,NULL,NULL
8,"62.02","62.02","cm",NULL,NULL,NULL
8,"62.16","62.16","cm",NULL,NULL,NULL
8,"62.375","62.375","cm",NULL,NULL,NULL
8,"62.557","62.557","cm",NULL,NULL,NULL
8,"62.626","62.626","cm",NULL,NULL,NULL
8,"62.666","62.666","cm",NULL,NULL,NULL
8,"62.722","62.722","cm",NULL,NULL,NULL
8,"62.863","62.863","cm",NULL,NULL,NULL
8,"62.918","62.918","cm",NULL,NULL,NULL
8,"62.923","62.923","cm",NULL,NULL,NULL
8,"62.993","62.993","cm",NULL,NULL,NULL
8,"63.497","63.497","cm",NULL,NULL,NULL
8,"63.58","63.58","cm",NULL,NULL,NULL
8,"63.64","63.64","cm",NULL,NULL,NULL
8,"63.799","63.799","cm",NULL,NULL,NULL
8,"63.814","63.814","cm",NULL,NULL,NULL
8,"63.891","63.891","cm",NULL,NULL,NULL
8,"64.109","64.109","cm",NULL,NULL,NULL
8,"64.148","64.148","cm",NULL,NULL,NULL
8,"64.328","64.328","cm",NULL,NULL,NULL
8,"64.889","64.889","cm",NULL,NULL,NULL
8,"64.979","64.979","cm",NULL,NULL,NULL
8,"65.016","65.016","cm",NULL,NULL,NULL
8,"65.087","65.087","cm",NULL,NULL,NULL
8,"65.2","65.2","cm",NULL,NULL,NULL
8,"65.21","65.21","cm",NULL,NULL,NULL
8,"65.215","65.215","cm",NULL,NULL,NULL
8,"65.26","65.26","cm",NULL,NULL,NULL
8,"65.38","65.38","cm",NULL,NULL,NULL
8,"65.607","65.607","cm",NULL,NULL,NULL
8,"66.041","66.041","cm",NULL,NULL,NULL
8,"66.088","66.088","cm",NULL,NULL,NULL
8,"66.13","66.13","cm",NULL,NULL,NULL
8,"66.198","66.198","cm",NULL,NULL,NULL
8,"66.277","66.277","cm",NULL,NULL,NULL
8,"66.692","66.692","cm",NULL,NULL,NULL
8,"66.82","66.82","cm",NULL,NULL,NULL
8,"66.872","66.872","cm",NULL,NULL,NULL
8,"66.88","66.88","cm",NULL,NULL,NULL
8,"66.939","66.939","cm",NULL,NULL,NULL
8,"66.991","66.991","cm",NULL,NULL,NULL
8,"67.094","67.094","cm",NULL,NULL,NULL
8,"67.184","67.184","cm",NULL,NULL,NULL
8,"67.265","67.265","cm",NULL,NULL,NULL
8,"67.319","67.319","cm",NULL,NULL,NULL
8,"67.957","67.957","cm",NULL,NULL,NULL
8,"68.004","68.004","cm",NULL,NULL,NULL
8,"68.208","68.208","cm",NULL,NULL,NULL
8,"68.342","68.342","cm",NULL,NULL,NULL
8,"68.349","68.349","cm",NULL,NULL,NULL
8,"68.392","68.392","cm",NULL,NULL,NULL
8,"68.5","68.5","cm",NULL,NULL,NULL
8,"68.64","68.64","cm",NULL,NULL,NULL
