"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
4,NULL,NULL,NULL,"-2827.8",NULL,NULL
4,"4653","4610","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3196",NULL,NULL
4,"3290","348","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-2170",NULL,NULL
5,"95.911414441147","95.871414441147","mbs",NULL,NULL,NULL
4,"12.5","4","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-2416.9",NULL,NULL
4,NULL,NULL,NULL,"-1412",NULL,NULL
4,"271.27","271.37","m","854",NULL,NULL
4,"92",NULL,"feet",NULL,NULL,NULL
5,NULL,NULL,NULL,"-5655",NULL,NULL
4,"4864","4680","Ft.",NULL,NULL,NULL
4,"10882","8110","Ft.",NULL,NULL,NULL
4,"14",NULL,"feet","725",NULL,NULL
5,NULL,NULL,NULL,"-3630.6",NULL,NULL
4,"295.05","295.17","m","846",NULL,NULL
4,"9207","9173","Ft.",NULL,NULL,NULL
4,"110","95","Ft.",NULL,NULL,NULL
4,"192","25","Ft.",NULL,NULL,NULL
5,"0","337.41","m","-203.6064","-205.98384","MSL"
4,"520.31","520.49","m","1635",NULL,NULL
4,"1012.51","1012.71","CSF-A (m)",NULL,NULL,NULL
4,"20800","17189","Ft.",NULL,NULL,NULL
4,"9804","9763","Ft.",NULL,NULL,NULL
4,"4765","4728","Ft.",NULL,NULL,NULL
4,"3425","2860","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3516",NULL,NULL
4,NULL,NULL,NULL,"-5247",NULL,NULL
5,NULL,NULL,NULL,"-2416.9",NULL,NULL
4,"3958","3838","Ft.",NULL,NULL,NULL
4,"3820.8",NULL,"feet below surface","189",NULL,NULL
4,NULL,NULL,NULL,"-2463",NULL,NULL
4,"492","20","Ft.",NULL,NULL,NULL
4,"9384","9117","Ft.",NULL,NULL,NULL
4,"10463","7458","Ft.",NULL,NULL,NULL
5,"-4.88","-504.14","m","-384.3528","-385.8768","MSL"
4,NULL,NULL,NULL,"-5338",NULL,NULL
4,"6785","6600","Ft.",NULL,NULL,NULL
4,"13205.5","13150","Ft.",NULL,NULL,NULL
4,"430","431","cm",NULL,NULL,NULL
4,"56.8",NULL,NULL,NULL,NULL,NULL
4,"6805","6754","Ft.",NULL,NULL,NULL
4,"16","19","MBGS; cm",NULL,NULL,NULL
4,"23","421","ft Skeletonized",NULL,NULL,NULL
4,"2475","2397","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-760",NULL,NULL
4,"9570","9352","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-3714.8",NULL,NULL
4,NULL,NULL,NULL,"-892.6",NULL,NULL
4,NULL,NULL,NULL,"-3433",NULL,NULL
4,"4509","4128","Ft.",NULL,NULL,NULL
4,"6790","6706","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3537.6",NULL,NULL
4,"3947.9",NULL,"feet below surface","189",NULL,NULL
4,"5080","4847","Ft.",NULL,NULL,NULL
4,"0","0","cm","-65",NULL,NULL
4,"3820","3800","Ft.",NULL,NULL,NULL
4,"209","200","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-3708.5",NULL,NULL
4,"743","29","Ft.",NULL,NULL,NULL
4,"661.1","661.73","meters",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2320",NULL,NULL
4,"435","185","Ft.",NULL,NULL,NULL
4,"195","125","Ft.",NULL,NULL,NULL
4,"4900","4839","Ft.",NULL,NULL,NULL
6,"48.5","51","cm",NULL,NULL,NULL
4,"50","877","feet",NULL,NULL,NULL
4,"230.5","381","cm","-140",NULL,NULL
4,"5247","5010","Ft.",NULL,NULL,NULL
4,"62","745","ft Skeletonized",NULL,NULL,NULL
4,"5376","5031","Ft.",NULL,NULL,NULL
4,"7623","2330","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-670",NULL,NULL
4,"517.5",NULL,"feet","740",NULL,NULL
4,"6223.5","6035","Ft.",NULL,NULL,NULL
5,"-4.88","-504.14","m","-492.5568","-493.1664","MSL"
4,"10","20","cm",NULL,NULL,NULL
4,NULL,NULL,NULL,"7.34",NULL,NULL
5,NULL,NULL,NULL,"-3535",NULL,NULL
4,"91",NULL,NULL,NULL,NULL,NULL
4,"6138","2599","Ft.",NULL,NULL,NULL
4,"3606",NULL,"feet","476",NULL,NULL
4,NULL,NULL,NULL,"520",NULL,NULL
4,"9524","9354","Ft.",NULL,NULL,NULL
5,"14.93",NULL,"meters below core top",NULL,NULL,NULL
4,"3929","3916","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-699.9",NULL,NULL
4,"3090","2999","Ft.",NULL,NULL,NULL
4,"8783","8382","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-674",NULL,NULL
4,"8","660","ft Skeletonized",NULL,NULL,NULL
4,"5218","5063","Ft.",NULL,NULL,NULL
4,"54","39","Ft.",NULL,NULL,NULL
4,"4610","4554","Ft.",NULL,NULL,NULL
4,"4536","4515","Ft.",NULL,NULL,NULL
4,"4021.9","4024.4","feet below surface","1038",NULL,NULL
6,NULL,NULL,NULL,"-955.2",NULL,NULL
5,NULL,NULL,NULL,"-2806.9",NULL,NULL
4,"4621","4589","Ft.",NULL,NULL,NULL
4,"1432","250","Ft.",NULL,NULL,NULL
4,"3985","3260","Ft.",NULL,NULL,NULL
5,NULL,NULL,NULL,"-3046.7",NULL,NULL
4,"378","361","Ft.",NULL,NULL,NULL
4,"4163",NULL,"feet below surface",NULL,NULL,NULL
4,"77.5","229.5","cm","-1348",NULL,NULL
5,NULL,NULL,NULL,"-1910",NULL,NULL
6,NULL,NULL,NULL,"-4045",NULL,NULL
4,NULL,NULL,NULL,"-673",NULL,NULL
4,"18.6","1.8","Ft.",NULL,NULL,NULL
4,"3924","3750","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-5187",NULL,NULL
5,NULL,NULL,NULL,"-5183",NULL,NULL
4,"6864","6810","Ft.",NULL,NULL,NULL
5,"25","40","cm",NULL,NULL,NULL
4,"12728","12680","Ft.",NULL,NULL,NULL
5,NULL,NULL,NULL,"-396.2",NULL,NULL
4,"5015","4857","Ft.",NULL,NULL,NULL
4,"235","133","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-35.1",NULL,NULL
4,NULL,NULL,NULL,"-4504.9",NULL,NULL
4,"6446","6252","Ft.",NULL,NULL,NULL
4,"286",NULL,"feet",NULL,NULL,NULL
4,NULL,NULL,NULL,"-5002",NULL,NULL
4,"84",NULL,"feet",NULL,NULL,NULL
5,"100","125","cm","414",NULL,NULL
4,NULL,NULL,NULL,"-3865",NULL,NULL
4,"3058","3035","Ft.",NULL,NULL,NULL
4,"15060","8321","Ft.",NULL,NULL,NULL
4,"40","42","feet below surface",NULL,NULL,NULL
4,"15682","15467","Ft.",NULL,NULL,NULL
4,"39.6",NULL,NULL,NULL,NULL,NULL
6,NULL,NULL,NULL,"-5667",NULL,NULL
4,"12704","12424","Ft.",NULL,NULL,NULL
4,"7977","7897","Ft.",NULL,NULL,NULL
5,"20","23","cmbsf",NULL,NULL,NULL
4,"325","270","Ft.",NULL,NULL,NULL
4,"4288","4232","Ft.",NULL,NULL,NULL
4,"12615","12495","Ft.",NULL,NULL,NULL
4,"733","13","Ft.",NULL,NULL,NULL
4,"13637","12051","Ft.",NULL,NULL,NULL
4,"4885","4852","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3598.4",NULL,NULL
4,"9850.5","9800","Ft.",NULL,NULL,NULL
4,"4330","4306","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3.6",NULL,NULL
4,"4446","4046","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2416.7",NULL,NULL
4,"7698","7663.5","Ft.",NULL,NULL,NULL
4,"96","229","cm","-67",NULL,NULL
4,NULL,NULL,NULL,"-7011",NULL,NULL
5,NULL,NULL,NULL,"-3177.2",NULL,NULL
4,"6470","6405","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-3890",NULL,NULL
4,"6240","6180","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-20.08632",NULL,"NAVD88"
5,"6.72",NULL,"meters below core top",NULL,NULL,NULL
4,NULL,NULL,NULL,"-5075",NULL,NULL
4,NULL,NULL,NULL,"-4082",NULL,NULL
5,"18.9",NULL,"meters below core top",NULL,NULL,NULL
4,"260.87","260.97","m","854",NULL,NULL
4,NULL,NULL,NULL,"-452.9",NULL,NULL
4,NULL,NULL,NULL,"-465",NULL,NULL
4,NULL,NULL,NULL,"-21.34",NULL,"NAVD88"
4,"7513","7453","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-4987",NULL,NULL
4,"2533","937","Ft.",NULL,NULL,NULL
5,NULL,NULL,NULL,"-915",NULL,NULL
4,"475","619","cm","-118",NULL,NULL
4,"123","42","Ft.",NULL,NULL,NULL
4,"0","91.5","cm","-134",NULL,NULL
4,NULL,NULL,NULL,"-5427",NULL,NULL
4,"1059",NULL,"feet","610",NULL,NULL
4,NULL,NULL,NULL,"-11.8872",NULL,NULL
4,"533",NULL,NULL,NULL,NULL,NULL
4,NULL,NULL,NULL,"-1548",NULL,NULL
6,NULL,NULL,NULL,"-794.1",NULL,NULL
4,"3236","3220","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2574",NULL,NULL
4,"5044","5003","Ft.",NULL,NULL,NULL
5,NULL,NULL,NULL,"-4451",NULL,NULL
6,NULL,NULL,NULL,"-2192.1",NULL,NULL
4,NULL,NULL,NULL,"-3526",NULL,NULL
5,"22.15",NULL,"meters below core top",NULL,NULL,NULL
4,"4162","4080","Ft.",NULL,NULL,NULL
4,"1340","1341","cm",NULL,NULL,NULL
4,"6318","6269","Ft.",NULL,NULL,NULL
4,"2400","2137","Ft.",NULL,NULL,NULL
4,"9044","8996","Ft.",NULL,NULL,NULL
5,"2.97",NULL,"meters below core top",NULL,NULL,NULL
4,"7400","2750","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2322.7",NULL,NULL
4,"2961","2627","Ft.",NULL,NULL,NULL
4,"3623","3727.8",NULL,"1991",NULL,NULL
4,"7038","4651","Ft.",NULL,NULL,NULL
6,NULL,NULL,NULL,"-837.5",NULL,NULL
4,"2170","1889","Ft.",NULL,NULL,NULL
4,"6500","5854","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-260",NULL,NULL
5,NULL,NULL,NULL,"-75",NULL,NULL
6,NULL,NULL,NULL,"-922.9",NULL,NULL
5,NULL,NULL,NULL,"2285",NULL,NULL
6,NULL,NULL,NULL,"-4619.3",NULL,NULL
4,NULL,NULL,NULL,"-5077",NULL,NULL
4,"7149","6785","Ft.",NULL,NULL,NULL
4,"1252","2357","feet","-712","-1817",NULL
4,"389","363","Ft.",NULL,NULL,NULL
4,NULL,"13","ft Skeletonized",NULL,NULL,NULL
4,NULL,NULL,NULL,"-4212.4",NULL,NULL
4,NULL,NULL,NULL,"-8.97",NULL,NULL
4,"3499","2579","Ft.",NULL,NULL,NULL
4,"143.275","143.435","m","1635",NULL,NULL
4,"3217","3211","Ft.",NULL,NULL,NULL
4,NULL,"9.33","ft",NULL,NULL,NULL
5,"34","36","cm",NULL,NULL,NULL
5,"2.03","3.57","Meters below lake floor","42",NULL,"MSL"
4,"4934","4673","Ft.",NULL,NULL,NULL
4,"3481","3260","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-147",NULL,NULL
4,"1333","20","Ft.",NULL,NULL,NULL
4,"11738","11376","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2423.8",NULL,NULL
4,NULL,NULL,NULL,"-10.9728",NULL,NULL
4,NULL,NULL,NULL,"-3997.5",NULL,NULL
4,"12129.2","10490","Ft.",NULL,NULL,NULL
4,"1600","1028","Ft.",NULL,NULL,NULL
4,"582.36",NULL,"m","1635",NULL,NULL
6,NULL,NULL,NULL,"-462",NULL,NULL
4,NULL,NULL,NULL,"2068",NULL,NULL
4,"6181","6166","Ft.",NULL,NULL,NULL
4,"13159.5","13138","Ft.",NULL,NULL,NULL
4,"4888","4787","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-7908",NULL,NULL
4,"27.5","12.5","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2078.6",NULL,NULL
4,"3512","3464","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-20.2",NULL,NULL
4,NULL,NULL,NULL,"-2670.8",NULL,NULL
5,NULL,"8","cm","1370",NULL,NULL
4,"430","100","Ft.",NULL,NULL,NULL
4,"285",NULL,"feet",NULL,NULL,NULL
4,"10998","10818","Ft.",NULL,NULL,NULL
5,NULL,NULL,NULL,"-262.2",NULL,NULL
4,NULL,NULL,NULL,"-586","-586",NULL
6,NULL,NULL,NULL,"-4211.5",NULL,NULL
4,"2526.62","2526.62","meters",NULL,NULL,NULL
4,"4375","4345","Ft.",NULL,NULL,NULL
4,NULL,NULL,NULL,"-2437",NULL,NULL
4,"335.475","335.62","m","1635",NULL,NULL
6,NULL,NULL,NULL,"-3816",NULL,NULL
4,"1226.5",NULL,"feet","610",NULL,NULL
4,"1075",NULL,NULL,NULL,NULL,NULL
4,"2577","2360","Ft.",NULL,NULL,NULL
4,"2592.9",NULL,"feet below surface",NULL,NULL,NULL
4,NULL,NULL,NULL,"-4141",NULL,NULL
6,NULL,NULL,NULL,"-2682.5",NULL,NULL
6,NULL,NULL,NULL,"-3195",NULL,NULL
4,"115.8","125.53","feet below surface",NULL,NULL,NULL
6,NULL,NULL,NULL,"-4636.7",NULL,NULL
4,NULL,NULL,NULL,"-868",NULL,NULL
5,NULL,NULL,NULL,"-4628.2",NULL,NULL
4,"14969","14900","Ft.",NULL,NULL,NULL
5,"4","4.5","meters composite depth (MCD)","176",NULL,NULL
4,"3268","3231","Ft.",NULL,NULL,NULL
4,"11206","11180","Ft.",NULL,NULL,NULL
4,"12995","12002","Ft.",NULL,NULL,NULL
5,"100","130","mm",NULL,NULL,NULL
4,"300",NULL,"feet",NULL,NULL,NULL
5,NULL,NULL,NULL,"-4885.4",NULL,NULL
4,"268.41","268.53","m","854",NULL,NULL
4,NULL,NULL,NULL,"-5099",NULL,NULL
