"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
2,NULL,NULL,NULL,"165.51","582.17",NULL
2,NULL,NULL,NULL,"3.96","626.67",NULL
2,NULL,NULL,NULL,"121.31",NULL,NULL
2,NULL,NULL,NULL,"122.22","-442.87",NULL
2,NULL,NULL,NULL,"25.6","583.08",NULL
2,NULL,NULL,NULL,"176.78","533.4",NULL
2,NULL,NULL,NULL,"161.54","691.9",NULL
2,NULL,NULL,NULL,"177.7","815.34",NULL
2,NULL,NULL,NULL,"125.27","1542.29",NULL
1,NULL,NULL,NULL,"-18.93",NULL,"NAVD88"
2,NULL,NULL,NULL,"170.38","754.38",NULL
2,NULL,NULL,NULL,"85.65","3533.85",NULL
2,NULL,NULL,NULL,"150","94","MSL"
2,NULL,NULL,NULL,"157.28","547.12",NULL
2,NULL,NULL,NULL,"992.4","967.4","MSL"
2,NULL,NULL,NULL,"186.84","615.7",NULL
2,NULL,NULL,NULL,"369",NULL,NULL
1,NULL,NULL,NULL,"434",NULL,NULL
1,NULL,NULL,NULL,"107.937542096",NULL,NULL
2,NULL,NULL,NULL,"12.5","1171.96",NULL
2,NULL,NULL,NULL,"35.36","-1442.92",NULL
2,NULL,NULL,NULL,"-3730",NULL,NULL
2,NULL,NULL,NULL,"101.8","966.22",NULL
2,NULL,NULL,NULL,"103.63","1183.84",NULL
2,NULL,NULL,NULL,"101.8","579.12",NULL
2,NULL,NULL,NULL,"205.74","1194.82",NULL
2,NULL,NULL,NULL,"44.5","2674.32",NULL
2,NULL,NULL,NULL,"126.49","728.47",NULL
2,NULL,NULL,NULL,"15.85","4232.15",NULL
2,NULL,NULL,NULL,"125.27","1645.92",NULL
2,NULL,NULL,NULL,"368.9","-14231.1",NULL
2,NULL,NULL,NULL,"117.04","4389.12",NULL
2,NULL,NULL,NULL,"60.96","-1097.28",NULL
1,NULL,NULL,NULL,"-6007",NULL,NULL
2,NULL,NULL,NULL,"111.56","1472.18",NULL
2,NULL,NULL,NULL,"23.16","6013.7",NULL
2,NULL,NULL,NULL,"-3715.5",NULL,NULL
2,NULL,NULL,NULL,"207.07",NULL,NULL
2,NULL,NULL,NULL,"364.58",NULL,NULL
2,NULL,NULL,NULL,"133.81","436.17",NULL
2,NULL,NULL,NULL,"209.7","1089.66",NULL
2,NULL,NULL,NULL,"175.87","426.72",NULL
2,NULL,NULL,NULL,"178",NULL,NULL
2,NULL,NULL,NULL,"-5059.6",NULL,NULL
2,NULL,NULL,NULL,"79.25","-1749.55",NULL
2,NULL,NULL,NULL,"121.01","371.86",NULL
1,NULL,NULL,NULL,"-847",NULL,NULL
2,NULL,NULL,NULL,"1213",NULL,NULL
2,NULL,NULL,NULL,"201.78","740.66",NULL
2,NULL,NULL,NULL,"-2146",NULL,NULL
2,NULL,NULL,NULL,"216.41","1188.72",NULL
2,"196","206","cm",NULL,NULL,NULL
1,NULL,NULL,NULL,"-93",NULL,NULL
2,NULL,NULL,NULL,"153.31","504.44",NULL
1,NULL,NULL,NULL,"-42.4",NULL,NULL
2,NULL,NULL,NULL,"3486.4",NULL,NULL
2,NULL,NULL,NULL,"200","-9665",NULL
1,NULL,NULL,NULL,"-2015",NULL,NULL
1,NULL,NULL,NULL,"-1542",NULL,NULL
2,NULL,NULL,NULL,"-1141.4",NULL,NULL
1,NULL,NULL,NULL,"2454",NULL,NULL
2,NULL,NULL,NULL,"-814.4",NULL,NULL
2,NULL,NULL,NULL,"40.23","1371.6",NULL
2,NULL,NULL,NULL,"140.51","541.02",NULL
2,NULL,NULL,NULL,"196.29","800.71",NULL
2,NULL,NULL,NULL,"107","-33","MSL"
2,NULL,NULL,NULL,"58.25",NULL,NULL
